"","V1","V2"
"138","Chocianów","obszar wiejski"
"139","Gaworzyce","-"
"140","Grębocice","-"
"141","Polkowice","miasto"
"142","Przemków","miasto"
"143","Lwówek Śląski","obszar wiejski"
"144","Mirsk","miasto"
"145","Mirsk","obszar wiejski"
"146","Wleń","miasto"
"147","Wleń","obszar wiejski"
"148","Cieszków","-"
"149","Krośnice","-"
"150","Milicz","miasto"
"151","Milicz","obszar wiejski"
"152","Oleśnica","gm. miejska"
"153","Bierutów","miasto"
"154","Bierutów","obszar wiejski"
"155","Dobroszyce","-"
"156","Dziadowa Kłoda","-"
"157","Międzybórz","miasto"
"158","Międzybórz","obszar wiejski"
"159","Oleśnica","-"
"160","Syców","miasto"
"161","Syców","obszar wiejski"
"162","Twardogóra","miasto"
"163","Twardogóra","obszar wiejski"
"164","Sadlinki","-"
"165","Osieczna","-"
"166","Przemków","obszar wiejski"
"167","Radwanice","-"
"168","Borów","-"
"169","Kondratowice","-"
"170","Przeworno","-"
"171","Bolesławiec","gm. miejska"
"172","Bolesławiec","-"
"173","Gromadka","-"
"174","Nowogrodziec","miasto"
"175","Olszyna","miasto"
"176","Polkowice","obszar wiejski"
"177","Olszyna","obszar wiejski"
"178","Szlichtyngowa","miasto"
"179","Aleksandrów Kujawski","gm. miejska"
"180","Fabianki","-"
"181","Izbica Kujawska","miasto"
"182","Izbica Kujawska","obszar wiejski"
"183","Lubanie","-"
"184","Chojnice","-"
"185","Czersk","obszar wiejski"
"186","Człuchów","-"
"187","Debrzno","obszar wiejski"
"188","Gardeja","-"
"189","Mieleszyn","-"
"190","Babiak","-"
"191","Przedecz","obszar wiejski"
"192","Tuczna","-"
"193","Wisznice","-"
"194","Skulsk","-"
"195","Wierzbinek","-"
"196","Terespol","-"
"197","Osiek","-"
"198","Smętowo Graniczne","-"
"199","Gniew","obszar wiejski"
"200","Lidzbark","obszar wiejski"
"201","Kisielice","obszar wiejski"
"202","Trzemeszno","obszar wiejski"
"203","Biskupiec","-"
"204","Grodziczno","-"
"205","Kurzętnik","-"
"206","Gniezno","-"
"207","Waganiec","-"
"208","Zakrzewo","-"
"209","Brodnica","gm. miejska"
"210","Bobrowo","-"
"211","Górzno","miasto"
"212","Zalesie","-"
"213","Biłgoraj","gm. miejska"
"214","Aleksandrów","-"
"215","Biłgoraj","-"
"216","Biszcza","-"
"217","Frampol","miasto"
"218","Frampol","obszar wiejski"
"219","Goraj","-"
"220","Józefów","miasto"
"221","Józefów","obszar wiejski"
"222","Księżpol","-"
"223","Łukowa","-"
"224","Obsza","-"
"225","Potok Górny","-"
"226","Tarnogród","miasto"
"227","Tarnogród","obszar wiejski"
"228","Tereszpol","-"
"229","Ciechocinek","-"
"230","Nieszawa","-"
"231","Aleksandrów Kujawski","-"
"232","Bądkowo","-"
"233","Koneck","-"
"234","Raciążek","-"
"235","Brodnica","-"
"236","Brzozie","-"
"237","Jabłonowo Pomorskie","miasto"
"238","Górzno","obszar wiejski"
"239","Bartniczka","-"
"240","Kijewo Królewskie","-"
"241","Lisewo","-"
"242","Nowe Brzesko","miasto"
"243","Papowo Biskupie","-"
"244","Jabłonowo Pomorskie","obszar wiejski"
"245","Osiek","-"
"246","Świedziebnia","-"
"247","Zbiczno","-"
"248","Białe Błota","-"
"249","Dąbrowa Chełmińska","-"
"250","Dobrcz","-"
"251","Koronowo","miasto"
"252","Koronowo","obszar wiejski"
"253","Nowa Wieś Wielka","-"
"254","Osielsko","-"
"255","Sicienko","-"
"256","Solec Kujawski","miasto"
"257","Solec Kujawski","obszar wiejski"
"258","Chełmno","-"
"259","Chełmno","-"
"260","Janikowo","obszar wiejski"
"261","Kruszwica","miasto"
"262","Kruszwica","obszar wiejski"
"263","Pakość","miasto"
"264","Stolno","-"
"265","Unisław","-"
"266","Golub-Dobrzyń","gm. miejska"
"267","Ciechocin","-"
"268","Golub-Dobrzyń","-"
"269","Kowalewo Pomorskie","miasto"
"270","Kowalewo Pomorskie","obszar wiejski"
"271","Radomin","-"
"272","Zbójno","-"
"273","Grudziądz","-"
"274","Łasin","miasto"
"275","Gruta","-"
"276","Łasin","obszar wiejski"
"277","Radzyń Chełmiński","miasto"
"278","Radzyń Chełmiński","obszar wiejski"
"279","Rogóźno","-"
"280","Świecie nad Osą","-"
"281","Inowrocław","gm. miejska"
"282","Dąbrowa Biskupia","-"
"283","Gniewkowo","miasto"
"284","Gniewkowo","obszar wiejski"
"285","Inowrocław","-"
"286","Janikowo","miasto"
"287","Pakość","obszar wiejski"
"288","Rojewo","-"
"289","Złotniki Kujawskie","-"
"290","Lipno","gm. miejska"
"291","Nakło nad Notecią","obszar wiejski"
"292","Sadki","-"
"293","Szubin","miasto"
"294","Szubin","obszar wiejski"
"295","Bobrowniki","-"
"296","Chrostkowo","-"
"297","Dobrzyń nad Wisłą","miasto"
"298","Dobrzyń nad Wisłą","obszar wiejski"
"299","Kikół","-"
"300","Lipno","-"
"301","Skępe","miasto"
"302","Skępe","obszar wiejski"
"303","Tłuchowo","-"
"304","Wielgie","-"
"305","Dąbrowa","-"
"306","Jeziora Wielkie","-"
"307","Mogilno","miasto"
"308","Mogilno","obszar wiejski"
"309","Strzelno","miasto"
"310","Strzelno","obszar wiejski"
"311","Kcynia","miasto"
"312","Kcynia","obszar wiejski"
"313","Mrocza","miasto"
"314","Mrocza","obszar wiejski"
"315","Nakło nad Notecią","miasto"
"316","Dragacz","-"
"317","Drzycim","-"
"318","Jeżewo","-"
"319","Radziejów","gm. miejska"
"320","Bytoń","-"
"321","Dobre","-"
"322","Osięciny","-"
"323","Piotrków Kujawski","miasto"
"324","Piotrków Kujawski","obszar wiejski"
"325","Radziejów","-"
"326","Topólka","-"
"327","Rypin","gm. miejska"
"328","Brzuze","-"
"329","Rogowo","-"
"330","Rypin","-"
"331","Skrwilno","-"
"332","Wąpielsk","-"
"333","Kamień Krajeński","miasto"
"334","Kamień Krajeński","obszar wiejski"
"335","Sępólno Krajeńskie","miasto"
"336","Sępólno Krajeńskie","obszar wiejski"
"337","Sośno","-"
"338","Więcbork","miasto"
"339","Więcbork","obszar wiejski"
"340","Bukowiec","-"
"341","Lniano","-"
"342","Nowe","miasto"
"343","Obrowo","-"
"344","Wielka Nieszawka","-"
"345","Lubiewo","-"
"346","Zławieś Wielka","-"
"347","Cekcyn","-"
"348","Gostycyn","-"
"349","Kęsowo","-"
"350","Nowe","obszar wiejski"
"351","Osie","-"
"352","Pruszcz","-"
"353","Świecie","miasto"
"354","Świecie","obszar wiejski"
"355","Świekatowo","-"
"356","Warlubie","-"
"357","Chełmża","gm. miejska"
"358","Chełmża","-"
"359","Czernikowo","-"
"360","Lubicz","-"
"361","Łubianka","-"
"362","Łysomice","-"
"363","Wińsko","-"
"364","Wołów","miasto"
"365","Wołów","obszar wiejski"
"366","Czernica","-"
"367","Śliwice","-"
"368","Tuchola","miasto"
"369","Tuchola","obszar wiejski"
"370","Wąbrzeźno","gm. miejska"
"371","Dębowa Łąka","-"
"372","Książki","-"
"373","Płużnica","-"
"374","Wąbrzeźno","-"
"375","Kowal","gm. miejska"
"376","Baruchowo","-"
"377","Boniewo","-"
"378","Brześć Kujawski","miasto"
"379","Brześć Kujawski","obszar wiejski"
"380","Choceń","-"
"381","Chodecz","miasto"
"382","Chodecz","obszar wiejski"
"383","Brzeg Dolny","miasto"
"384","Brzeg Dolny","obszar wiejski"
"385","Długołęka","-"
"386","Jordanów Śląski","-"
"387","Ziębice","miasto"
"388","Ziębice","obszar wiejski"
"389","Złoty Stok","miasto"
"390","Złoty Stok","obszar wiejski"
"391","Pieńsk","obszar wiejski"
"392","Zawidów","-"
"393","Zgorzelec","gm. miejska"
"394","Bogatynia","miasto"
"395","Bogatynia","obszar wiejski"
"396","Pieńsk","miasto"
"397","Kąty Wrocławskie","miasto"
"398","Kąty Wrocławskie","obszar wiejski"
"399","Kobierzyce","-"
"400","Mietków","-"
"401","Sobótka","miasto"
"402","Sobótka","obszar wiejski"
"403","Siechnice","miasto"
"404","Siechnice","obszar wiejski"
"405","Żórawina","-"
"406","Bardo","miasto"
"407","Bardo","obszar wiejski"
"408","Ciepłowody","-"
"409","Kamieniec Ząbkowicki","-"
"410","Stoszowice","-"
"411","Ząbkowice Śląskie","miasto"
"412","Ząbkowice Śląskie","obszar wiejski"
"413","Gielniów","-"
"414","Odrzywół","-"
"415","Rusinów","-"
"416","Wysokie","-"
"417","Zakrzew","-"
"418","Cyców","-"
"419","Zakrzewo","-"
"420","Międzyrzec Podlaski","gm. miejska"
"421","Terespol","gm. miejska"
"422","Chodów","-"
"423","Dąbie","obszar wiejski"
"424","Iłów","-"
"425","Nowa Sucha","-"
"426","Rybno","-"
"427","Ludwin","-"
"428","Łęczna","miasto"
"429","Łęczna","obszar wiejski"
"430","Biała Podlaska","-"
"431","Drelów","-"
"432","Kłodawa","obszar wiejski"
"433","Olszówka","-"
"434","Czajków","-"
"435","Mszczonów","obszar wiejski"
"436","Puszcza Mariańska","-"
"437","Dzwola","-"
"438","Godziszów","-"
"439","Janów Lubelski","miasto"
"440","Janów Podlaski","-"
"441","Kodeń","-"
"442","Konstantynów","-"
"443","Doruchów","-"
"444","Grabów nad Prosną","obszar wiejski"
"445","Brudzew","-"
"446","Wiskitki","-"
"447","Byczyna","obszar wiejski"
"448","Janów Lubelski","obszar wiejski"
"449","Modliborzyce","-"
"450","Leśna Podlaska","-"
"451","Łomazy","-"
"452","Międzyrzec Podlaski","-"
"453","Dobra","obszar wiejski"
"454","Kawęczyn","-"
"455","Przykona","-"
"456","Gorzów Śląski","obszar wiejski"
"457","Bierzwnik","-"
"458","Potok Wielki","-"
"459","Krasnystaw","gm. miejska"
"460","Fajsławice","-"
"461","Gorzków","-"
"462","Krasnystaw","-"
"463","Piszczac","-"
"464","Rokitno","-"
"465","Rossosz","-"
"466","Sławatycze","-"
"467","Pajęczno","obszar wiejski"
"468","Dobryszyce","-"
"469","Bochnia","-"
"470","Bochnia","-"
"471","Wymiarki","-"
"472","Łęknica","-"
"473","Żary","gm. miejska"
"474","Brody","-"
"475","Jasień","miasto"
"476","Izbica","-"
"477","Kraśniczyn","-"
"478","Łopiennik Górny","-"
"479","Sosnówka","-"
"480","Kowal","-"
"481","Lubień Kujawski","miasto"
"482","Drwinia","-"
"483","Lipnica Murowana","-"
"484","Łapanów","-"
"485","Nowy Wiśnicz","miasto"
"486","Drawsko","-"
"487","Krzyż Wielkopolski","obszar wiejski"
"488","Wijewo","-"
"489","Międzychód","obszar wiejski"
"490","Rudnik","-"
"491","Siennica Różana","-"
"492","Żółkiewka","-"
"493","Kraśnik","gm. miejska"
"494","Annopol","miasto"
"495","Lubień Kujawski","obszar wiejski"
"496","Lubraniec","miasto"
"497","Lubraniec","obszar wiejski"
"498","Nowy Wiśnicz","obszar wiejski"
"499","Rzezawa","-"
"500","Trzciana","-"
"501","Krzęcin","-"
"502","Pełczyce","obszar wiejski"
"503","Annopol","obszar wiejski"
"504","Dzierzkowice","-"
"505","Gościeradów","-"
"506","Wieluń","obszar wiejski"
"507","Wierzchlas","-"
"508","Żegocina","-"
"509","Borzęcin","-"
"510","Brzesko","miasto"
"511","Jasień","obszar wiejski"
"512","Lipinki Łużyckie","-"
"513","Lubsko","miasto"
"514","Żary","-"
"515","Szastarka","-"
"516","Trzydnik Duży","-"
"517","Urzędów","-"
"518","Wilkołaz","-"
"519","Bolesławiec","-"
"520","Czastary","-"
"521","Galewice","-"
"522","Brzesko","obszar wiejski"
"523","Czchów","miasto"
"524","Czchów","obszar wiejski"
"525","Sieraków","obszar wiejski"
"526","Miedzichowo","-"
"527","Zakrzówek","-"
"528","Lubartów","gm. miejska"
"529","Abramów","-"
"530","Firlej","-"
"531","Lututów","-"
"532","Łubnice","-"
"533","Sokolniki","-"
"534","Wieruszów","miasto"
"535","Dębno","-"
"536","Gnojnik","-"
"537","Iwkowa","-"
"538","Szczurowa","-"
"539","Praszka","obszar wiejski"
"540","Żagań","gm. miejska"
"541","Brzeźnica","-"
"542","Jeziorzany","-"
"543","Kamionka","-"
"544","Kock","miasto"
"545","Wieruszów","obszar wiejski"
"546","Zduńska Wola","gm. miejska"
"547","Szadek","miasto"
"548","Alwernia","miasto"
"549","Alwernia","obszar wiejski"
"550","Babice","-"
"551","Lubsko","obszar wiejski"
"552","Trzebiel","-"
"553","Kock","obszar wiejski"
"554","Michów","-"
"555","Szadek","obszar wiejski"
"556","Zapolice","-"
"557","Głowno","gm. miejska"
"558","Ozorków","gm. miejska"
"559","Chrzanów","miasto"
"560","Zgierz","-"
"561","Zbąszyń","obszar wiejski"
"562","Siedlec","-"
"563","Drawno","obszar wiejski"
"564","Barlinek","obszar wiejski"
"565","Niedźwiada","-"
"566","Ostrów Lubelski","miasto"
"567","Wilczyn","-"
"568","Zgierz","gm. miejska"
"569","Aleksandrów Łódzki","miasto"
"570","Aleksandrów Łódzki","obszar wiejski"
"571","Głowno","-"
"572","Łódź","-"
"573","Piotrków Trybunalski","-"
"574","Skierniewice","-"
"575","Pacyna","-"
"576","Iłowa","miasto"
"577","Małomice","miasto"
"578","Małomice","obszar wiejski"
"579","Szprotawa","miasto"
"580","Łobżenica","obszar wiejski"
"581","Wyrzysk","obszar wiejski"
"582","Ozorków","-"
"583","Parzęczew","-"
"584","Stryków","miasto"
"585","Sanniki","-"
"586","Szczawin Kościelny","-"
"587","Błędów","-"
"588","Tuplice","-"
"589","Gorzów Wielkopolski","-"
"590","Zielona Góra","-"
"591","Orchowo","-"
"592","Damasławek","-"
"593","Gołańcz","obszar wiejski"
"594","Stryków","obszar wiejski"
"595","Baranów","-"
"596","Łęka Opatowska","-"
"597","Mogielnica","obszar wiejski"
"598","Nowe Miasto nad Pilicą","obszar wiejski"
"599","Wolsztyn","obszar wiejski"
"600","Mieścisko","-"
"601","Wapno","-"
"602","Lipka","-"
"603","Jelenia Góra","-"
"604","Legnica","-"
"605","Wałbrzych","-"
"606","Skąpe","-"
"607","Szczaniec","-"
"608","Świebodzin","miasto"
"609","Świebodzin","obszar wiejski"
"610","Zbąszynek","miasto"
"611","Ośno Lubuskie","obszar wiejski"
"612","Turobin","-"
"613","Rejowiec Fabryczny","gm. miejska"
"614","Iłowa","obszar wiejski"
"615","Niegosławice","-"
"616","Szprotawa","obszar wiejski"
"617","Żagań","-"
"618","Wrocław","-"
"619","Włocławek","-"
"620","Dąbrowice","-"
"621","Łanięta","-"
"622","Nowe Ostrowy","-"
"623","Gostynin","-"
"624","Zbąszynek","obszar wiejski"
"625","Babimost","miasto"
"626","Babimost","obszar wiejski"
"627","Bojadła","-"
"628","Białopole","-"
"629","Chełm","-"
"630","Przewóz","-"
"631","Brzeg","-"
"632","Grodków","obszar wiejski"
"633","Brudzeń Duży","-"
"634","Nowy Duninów","-"
"635","Mochowo","-"
"636","Czerwieńsk","miasto"
"637","Czerwieńsk","obszar wiejski"
"638","Kargowa","miasto"
"639","Dorohusk","-"
"640","Dubienka","-"
"641","Lubsza","-"
"642","Olszanka","-"
"643","Namysłów","obszar wiejski"
"644","Wilków","-"
"645","Rościszewo","-"
"646","Sierpc","-"
"647","Kargowa","obszar wiejski"
"648","Nowogród Bobrzański","miasto"
"649","Nowogród Bobrzański","obszar wiejski"
"650","Sulechów","miasto"
"651","Kamień","-"
"652","Leśniowice","-"
"653","Rejowiec Fabryczny","-"
"654","Kamiennik","-"
"655","Otmuchów","miasto"
"656","Otmuchów","obszar wiejski"
"657","Paczków","miasto"
"658","Paczków","obszar wiejski"
"659","Szczutowo","-"
"660","Lubowidz","-"
"661","Lutocin","-"
"662","Sulechów","obszar wiejski"
"663","Świdnica","-"
"664","Trzebiechów","-"
"665","Zielona Góra","-"
"666","Ruda-Huta","-"
"667","Sawin","-"
"668","Siedliszcze","-"
"669","Perzów","-"
"670","Sulmierzyce","-"
"671","Zduny","miasto"
"672","Zduny","obszar wiejski"
"673","Włocławek","-"
"674","Cieszanów","obszar wiejski"
"675","Zabór","-"
"676","Głusk","-"
"677","Tyszowce","obszar wiejski"
"678","Lubartów","-"
"679","Mircze","-"
"680","Trzeszczany","-"
"681","Uchanie","-"
"682","Rydzyna","obszar wiejski"
"683","Święciechowa","-"
"684","Horyniec-Zdrój","-"
"685","Narol","miasto"
"686","Narol","obszar wiejski"
"687","Kostrzyn nad Odrą","-"
"688","Bogdaniec","-"
"689","Deszczno","-"
"690","Kłodawa","-"
"691","Lubiszyn","-"
"692","Uścimów","-"
"693","Bełżyce","obszar wiejski"
"694","Borzechów","-"
"695","Bychawa","miasto"
"696","Odolanów","obszar wiejski"
"697","Sośnie","-"
"698","Stary Dzików","-"
"699","Harasiuki","-"
"700","Jarocin","-"
"701","Santok","-"
"702","Witnica","miasto"
"703","Witnica","obszar wiejski"
"704","Gubin","gm. miejska"
"705","Niemce","-"
"706","Strzyżewice","-"
"707","Wojciechów","-"
"708","Wólka","-"
"709","Kobyla Góra","-"
"710","Bojanowo","obszar wiejski"
"711","Jutrosin","obszar wiejski"
"712","Krzeszów","-"
"713","Adamówka","-"
"714","Pysznica","-"
"715","Radomyśl nad Sanem","-"
"716","Bobrowice","-"
"717","Bytnica","-"
"718","Werbkowice","-"
"719","Batorz","-"
"720","Chrzanów","-"
"721","Bełżyce","miasto"
"722","Pakosław","-"
"723","Rawicz","obszar wiejski"
"724","Barcin","miasto"
"725","Barcin","obszar wiejski"
"726","Zaklików","-"
"727","Mielnik","-"
"728","Ożarów","obszar wiejski"
"729","Dąbie","-"
"730","Gubin","-"
"731","Krosno Odrzańskie","miasto"
"732","Krosno Odrzańskie","obszar wiejski"
"733","Bychawa","obszar wiejski"
"734","Garbów","-"
"735","Jabłonna","-"
"736","Gąsawa","-"
"737","Janowiec Wielkopolski","miasto"
"738","Janowiec Wielkopolski","obszar wiejski"
"739","Tarłów","-"
"740","Zawichost","miasto"
"741","Zawichost","obszar wiejski"
"742","Cybinka","miasto"
"743","Maszewo","-"
"744","Bledzew","-"
"745","Międzyrzecz","miasto"
"746","Międzyrzecz","obszar wiejski"
"747","Wierzbica","-"
"748","Wojsławice","-"
"749","Żmudź","-"
"750","Hrubieszów","gm. miejska"
"751","Hrubieszów","-"
"752","Łabiszyn","miasto"
"753","Łabiszyn","obszar wiejski"
"754","Rogowo","-"
"755","Żnin","miasto"
"756","Żnin","obszar wiejski"
"757","Rzepin","obszar wiejski"
"758","Słubice","miasto"
"759","Słubice","obszar wiejski"
"760","Przytoczna","-"
"761","Pszczew","-"
"762","Skwierzyna","miasto"
"763","Skwierzyna","obszar wiejski"
"764","Ostrów Lubelski","obszar wiejski"
"765","Ostrówek","-"
"766","Serniki","-"
"767","Bydgoszcz","-"
"768","Grudziądz","-"
"769","Toruń","-"
"770","Dobiegniew","miasto"
"771","Dobiegniew","obszar wiejski"
"772","Drezdenko","miasto"
"773","Drezdenko","obszar wiejski"
"774","Stare Kurowo","-"
"775","Strzelce Krajeńskie","miasto"
"776","Strzelce Krajeńskie","obszar wiejski"
"777","Trzciel","miasto"
"778","Trzciel","obszar wiejski"
"779","Nowa Sól","gm. miejska"
"780","Bytom Odrzański","miasto"
"781","Jastków","-"
"782","Konopnica","-"
"783","Krzczonów","-"
"784","Niedrzwica Duża","-"
"785","Sulików","-"
"786","Węgliniec","miasto"
"787","Węgliniec","obszar wiejski"
"788","Zwierzyn","-"
"789","Krzeszyce","-"
"790","Lubniewice","miasto"
"791","Kolsko","-"
"792","Kożuchów","miasto"
"793","Kożuchów","obszar wiejski"
"794","Nowa Sól","-"
"795","Dołhobyczów","-"
"796","Horodło","-"
"797","Zgorzelec","-"
"798","Wojcieszów","-"
"799","Złotoryja","gm. miejska"
"800","Lubniewice","obszar wiejski"
"801","Słońsk","-"
"802","Sulęcin","miasto"
"803","Sulęcin","obszar wiejski"
"804","Nowe Miasteczko","miasto"
"805","Nowe Miasteczko","obszar wiejski"
"806","Otyń","-"
"807","Sława","miasto"
"808","Wschowa","miasto"
"809","Bytom Odrzański","obszar wiejski"
"810","Siedlisko","-"
"811","Sława","obszar wiejski"
"812","Szlichtyngowa","obszar wiejski"
"813","Pielgrzymka","-"
"814","Świerzawa","miasto"
"815","Świerzawa","obszar wiejski"
"816","Torzym","miasto"
"817","Torzym","obszar wiejski"
"818","Lubrza","-"
"819","Łagów","-"
"820","Cybinka","obszar wiejski"
"821","Górzyca","-"
"822","Ośno Lubuskie","miasto"
"823","Rzepin","miasto"
"824","Wschowa","obszar wiejski"
"825","Gozdnica","-"
"826","Zagrodno","-"
"827","Złotoryja","-"
"828","Radomyśl Wielki","obszar wiejski"
"829","Wadowice Górne","-"
"830","Wilamowice","miasto"
"831","Koszyce","-"
"832","Pałecznica","-"
"833","Proszowice","miasto"
"834","Proszowice","obszar wiejski"
"835","Radziemice","-"
"836","Sędziszów","obszar wiejski"
"837","Wodzisław","-"
"838","Grodzisk Mazowiecki","miasto"
"839","Grodzisk Mazowiecki","obszar wiejski"
"840","Jaktorów","-"
"841","Kozy","-"
"842","Wilamowice","miasto"
"843","Miedźna","-"
"844","Jordanów","-"
"845","Sucha Beskidzka","-"
"846","Budzów","-"
"847","Bystra-Sidzina","-"
"848","Bejsce","-"
"849","Kazimierza Wielka","obszar wiejski"
"850","Opatowiec","-"
"851","Żabia Wola","-"
"852","Belsk Duży","-"
"853","Chynów","-"
"854","Goszczyn","-"
"855","Bieruń","-"
"856","Imielin","-"
"857","Bojszowy","-"
"858","Chełm Śląski","-"
"859","Jordanów","-"
"860","Maków Podhalański","miasto"
"861","Maków Podhalański","obszar wiejski"
"862","Skalbmierz","obszar wiejski"
"863","Działoszyce","miasto"
"864","Działoszyce","obszar wiejski"
"865","Grójec","miasto"
"866","Grójec","obszar wiejski"
"867","Jasieniec","-"
"868","Mogielnica","miasto"
"869","Nowe Miasto nad Pilicą","miasto"
"870","Rudniki","-"
"871","Dąbrowa Zielona","-"
"872","Kłomnice","-"
"873","Koniecpol","obszar wiejski"
"874","Stryszawa","-"
"875","Zawoja","-"
"876","Zembrzyce","-"
"877","Ciężkowice","miasto"
"878","Łubnice","-"
"879","Brzyska","-"
"880","Szerzyny","-"
"881","Pniewy","-"
"882","Warka","miasto"
"883","Warka","obszar wiejski"
"884","Kruszyna","-"
"885","Mykanów","-"
"886","Lipie","-"
"887","Ciężkowice","obszar wiejski"
"888","Gromnik","-"
"889","Lisia Góra","-"
"890","Sławków","-"
"891","Ryglice","obszar wiejski"
"892","Białobrzegi","miasto"
"893","Garbatka-Letnisko","-"
"894","Grabów nad Pilicą","-"
"895","Kozienice","miasto"
"896","Legionowo","-"
"897","Zduńska Wola","-"
"898","Słupia Konecka","Słupia Konecka"
"899","Kluczewsko","-"
"900","Pleśna","-"
"901","Rzepiennik Strzyżewski","-"
"902","Skrzyszów","-"
"903","Białobrzegi","obszar wiejski"
"904","Promna","-"
"905","Radzanów","-"
"906","Jabłonna","-"
"907","Chrzanów","obszar wiejski"
"908","Libiąż","miasto"
"909","Paradyż","-"
"910","Poświętne","-"
"911","Sławno","-"
"912","Tarnów","-"
"913","Tuchów","miasto"
"914","Tuchów","obszar wiejski"
"915","Stara Błotnica","-"
"916","Stromiec","-"
"917","Wyśmierzyce","miasto"
"918","Libiąż","obszar wiejski"
"919","Trzebinia","miasto"
"920","Trzebinia","obszar wiejski"
"921","Andrychów","obszar wiejski"
"922","Kiełczygłów","-"
"923","Nowa Brzeźnica","-"
"924","Pajęczno","miasto"
"925","Rząśnia","-"
"926","Wierzchosławice","-"
"927","Wietrzychowice","-"
"928","Żabno","miasto"
