"Nazwa" "Osiagniecia_naukowe_i_tworcze" "Potencjal_naukowy" "Materialne_efekty_dzialalnosci_naukowej" "Pozostale_efekty_dzialalnosci_naukowej" "Ocena_ostateczna" "Kategoria" "nazwy"
"Uniwersytet Wroclawski; Wydzial Biotechnologii" "Uniwersytet Wroclawski; Wydzial Biotechnologii" 87.98 457 8.25 90 70.5 "+A" "Uniwersytet Wroclawski; Wydzial Biotechnologii"
"Uniwersytet Jagiellonski w Krakowie; Collegium Medicum; Wydzial Farmaceutyczny" "Uniwersytet Jagiellonski w Krakowie; Collegium Medicum; Wydzial Farmaceutyczny" 66.84 591 2.62 65 76.91 "A" "Uniwersytet Jagiellonski w Krakowie; Collegium Medicum; Wydzial Farmaceutyczny"
"Uniwersytet Medyczny w Bialymstoku; Wydzial Lekarski z Oddzialem Stomatologii i Oddzialem Nauczania w Jezyku Angielskim" "Uniwersytet Medyczny w Bialymstoku; Wydzial Lekarski z Oddzialem Stomatologii i Oddzialem Nauczania w Jezyku Angielskim" 52.76 1435 6.21 100 68.36 "A" "Uniwersytet Medyczny w Bialymstoku; Wydzial Lekarski z Oddzialem Stomatologii i Oddzialem Nauczania w Jezyku Angielskim"
"Warszawski Uniwersytet Medyczny; Wydzial Farmaceutyczny z Oddzialem Medycyny Laboratoryjnej" "Warszawski Uniwersytet Medyczny; Wydzial Farmaceutyczny z Oddzialem Medycyny Laboratoryjnej" 56.15 623 4.21 65 65.72 "A" "Warszawski Uniwersytet Medyczny; Wydzial Farmaceutyczny z Oddzialem Medycyny Laboratoryjnej"
"Uniwersytet Jagiellonski w Krakowie; Collegium Medicum; Wydzial Lekarski" "Uniwersytet Jagiellonski w Krakowie; Collegium Medicum; Wydzial Lekarski" 51.3 1831 2.7 100 61.45 "A" "Uniwersytet Jagiellonski w Krakowie; Collegium Medicum; Wydzial Lekarski"
"Uniwersytet Medyczny w Lodzi; Wydzial Nauk Biomedycznych i Ksztalcenia Podyplomowego" "Uniwersytet Medyczny w Lodzi; Wydzial Nauk Biomedycznych i Ksztalcenia Podyplomowego" 61.16 445 1.25 52.5 59.8 "A" "Uniwersytet Medyczny w Lodzi; Wydzial Nauk Biomedycznych i Ksztalcenia Podyplomowego"
"Pomorski Uniwersytet Medyczny w Szczecinie; Wydzial Lekarsko - Biotechnologiczny i Medycyny Laboratoryjnej" "Pomorski Uniwersytet Medyczny w Szczecinie; Wydzial Lekarsko - Biotechnologiczny i Medycyny Laboratoryjnej" 89.23 367 0.11 40 55.19 "A" "Pomorski Uniwersytet Medyczny w Szczecinie; Wydzial Lekarsko - Biotechnologiczny i Medycyny Laboratoryjnej"
"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydzial Farmaceutyczny" "Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydzial Farmaceutyczny" 52.14 558 2.6 57.5 52.08 "A" "Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydzial Farmaceutyczny"
"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydzial Lekarski II" "Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydzial Lekarski II" 50.2 1364 1.52 75 50.16 "A" "Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydzial Lekarski II"
"Uniwersytet Medyczny w Lublinie; Wydzial Farmaceutyczny z Oddzialem Analityki Medycznej" "Uniwersytet Medyczny w Lublinie; Wydzial Farmaceutyczny z Oddzialem Analityki Medycznej" 66.06 614 0.45 10 49.7 "A" "Uniwersytet Medyczny w Lublinie; Wydzial Farmaceutyczny z Oddzialem Analityki Medycznej"
"Uniwersytet Medyczny w Lodzi; Wydzial Lekarski" "Uniwersytet Medyczny w Lodzi; Wydzial Lekarski" 49.27 1161 2.23 67.5 48.94 "A" "Uniwersytet Medyczny w Lodzi; Wydzial Lekarski"
"Pomorski Uniwersytet Medyczny w Szczecinie; Wydzial Lekarski z Oddzialem Nauczania w Jezyku Angielskim" "Pomorski Uniwersytet Medyczny w Szczecinie; Wydzial Lekarski z Oddzialem Nauczania w Jezyku Angielskim" 59.12 984 0 45 45.01 "A" "Pomorski Uniwersytet Medyczny w Szczecinie; Wydzial Lekarski z Oddzialem Nauczania w Jezyku Angielskim"
"Gdanski Uniwersytet Medyczny; Wydzial Lekarski z Oddzialem Stomatologicznym" "Gdanski Uniwersytet Medyczny; Wydzial Lekarski z Oddzialem Stomatologicznym" 47.24 1427 1.94 69 43.78 "A" "Gdanski Uniwersytet Medyczny; Wydzial Lekarski z Oddzialem Stomatologicznym"
"Uniwersytet Mikolaja Kopernika w Toruniu; Collegium Medicum im. Ludwika Rydygiera w Bydgoszczy; Wydzial Lekarski" "Uniwersytet Mikolaja Kopernika w Toruniu; Collegium Medicum im. Ludwika Rydygiera w Bydgoszczy; Wydzial Lekarski" 46.5 827 2.09 82.5 43.69 "A" "Uniwersytet Mikolaja Kopernika w Toruniu; Collegium Medicum im. Ludwika Rydygiera w Bydgoszczy; Wydzial Lekarski"
"Uniwersytet Mikolaja Kopernika w Toruniu; Collegium Medicum im. Ludwika Rydygiera w Bydgoszczy; Wydzial Farmaceutyczny" "Uniwersytet Mikolaja Kopernika w Toruniu; Collegium Medicum im. Ludwika Rydygiera w Bydgoszczy; Wydzial Farmaceutyczny" 57.77 431 0.84 12.5 41.94 "A" "Uniwersytet Mikolaja Kopernika w Toruniu; Collegium Medicum im. Ludwika Rydygiera w Bydgoszczy; Wydzial Farmaceutyczny"
"Gdanski Uniwersytet Medyczny; Wydzial Nauk o Zdrowiu z Oddzialem Pielegniarstwa i Instytutem Medycyny Morskiej i Tropikalnej" "Gdanski Uniwersytet Medyczny; Wydzial Nauk o Zdrowiu z Oddzialem Pielegniarstwa i Instytutem Medycyny Morskiej i Tropikalnej" 50.09 558 1.45 57.5 41.73 "A" "Gdanski Uniwersytet Medyczny; Wydzial Nauk o Zdrowiu z Oddzialem Pielegniarstwa i Instytutem Medycyny Morskiej i Tropikalnej"
"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydzial Lekarski I" "Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydzial Lekarski I" 46.54 624 2.04 77.5 41.12 "A" "Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydzial Lekarski I"
"Uniwersytet Medyczny w Bialymstoku; Wydzial Nauk o Zdrowiu" "Uniwersytet Medyczny w Bialymstoku; Wydzial Nauk o Zdrowiu" 48.59 756 0.91 70 38.78 "A" "Uniwersytet Medyczny w Bialymstoku; Wydzial Nauk o Zdrowiu"
"Uniwersytet Medyczny w Lodzi; Wydzial Farmaceutyczny" "Uniwersytet Medyczny w Lodzi; Wydzial Farmaceutyczny" 52.1 472 2.06 0 36.96 "A" "Uniwersytet Medyczny w Lodzi; Wydzial Farmaceutyczny"
"Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Lekarski Ksztalcenia Podyplomowego" "Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Lekarski Ksztalcenia Podyplomowego" 48.42 907 0.38 77.5 34.56 "A" "Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Lekarski Ksztalcenia Podyplomowego"
"Uniwersytet Medyczny w Lodzi; Wydzial Nauk o Zdrowiu" "Uniwersytet Medyczny w Lodzi; Wydzial Nauk o Zdrowiu" 50.48 834 0 60 31.68 "A" "Uniwersytet Medyczny w Lodzi; Wydzial Nauk o Zdrowiu"
"Uniwersytet Medyczny w Lublinie; II Wydzial Lekarski z Oddzialem Anglojezycznym" "Uniwersytet Medyczny w Lublinie; II Wydzial Lekarski z Oddzialem Anglojezycznym" 44.27 680 2.08 65 31.64 "A" "Uniwersytet Medyczny w Lublinie; II Wydzial Lekarski z Oddzialem Anglojezycznym"
"Warszawski Uniwersytet Medyczny; Wydzial Nauki o Zdrowiu z Oddzialem Pielegniarstwa. Oddzialem Zdrowia Publicznego. Oddzialem Dietetyki" "Warszawski Uniwersytet Medyczny; Wydzial Nauki o Zdrowiu z Oddzialem Pielegniarstwa. Oddzialem Zdrowia Publicznego. Oddzialem Dietetyki" 45.35 564 4.1 37.5 31.05 "A" "Warszawski Uniwersytet Medyczny; Wydzial Nauki o Zdrowiu z Oddzialem Pielegniarstwa. Oddzialem Zdrowia Publicznego. Oddzialem Dietetyki"
"Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Nauk o Zdrowiu" "Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Nauk o Zdrowiu" 44.29 401 3.49 55 30.39 "A" "Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Nauk o Zdrowiu"
"Warszawski Uniwersytet Medyczny; I Wydzial Lekarski" "Warszawski Uniwersytet Medyczny; I Wydzial Lekarski" 44.41 1581 0.96 75 30.37 "A" "Warszawski Uniwersytet Medyczny; I Wydzial Lekarski"
"Pomorski Uniwersytet Medyczny w Szczecinie; Wydzial Nauk o Zdrowiu" "Pomorski Uniwersytet Medyczny w Szczecinie; Wydzial Nauk o Zdrowiu" 49.94 522 0.75 37.5 29.3 "B" "Pomorski Uniwersytet Medyczny w Szczecinie; Wydzial Nauk o Zdrowiu"
"Slaski Uniwersytet Medyczny w Katowicach; Wydzial Farmaceutyczny z Oddzialem Medycyny Laboratoryjnej w Sosnowcu" "Slaski Uniwersytet Medyczny w Katowicach; Wydzial Farmaceutyczny z Oddzialem Medycyny Laboratoryjnej w Sosnowcu" 50.22 697 0.38 40 27.66 "B" "Slaski Uniwersytet Medyczny w Katowicach; Wydzial Farmaceutyczny z Oddzialem Medycyny Laboratoryjnej w Sosnowcu"
"Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Lekarski" "Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Lekarski" 41.05 787 1.56 87.5 23.4 "B" "Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Lekarski"
"Warszawski Uniwersytet Medyczny; Wydzial Lekarsko-Dentystyczny" "Warszawski Uniwersytet Medyczny; Wydzial Lekarsko-Dentystyczny" 41.11 500 3.86 60 22.16 "B" "Warszawski Uniwersytet Medyczny; Wydzial Lekarsko-Dentystyczny"
"Uniwersytet Jagiellonski w Krakowie; Collegium Medicum; Wydzial Nauk o Zdrowiu" "Uniwersytet Jagiellonski w Krakowie; Collegium Medicum; Wydzial Nauk o Zdrowiu" 43.21 522 1.28 45 16.15 "B" "Uniwersytet Jagiellonski w Krakowie; Collegium Medicum; Wydzial Nauk o Zdrowiu"
"Warszawski Uniwersytet Medyczny; II Wydzial Lekarski z Oddzialem Nauczania w Jezyku Angielskim. Oddzialem Fizjoterapii" "Warszawski Uniwersytet Medyczny; II Wydzial Lekarski z Oddzialem Nauczania w Jezyku Angielskim. Oddzialem Fizjoterapii" 38.63 693 2.67 70 14.45 "B" "Warszawski Uniwersytet Medyczny; II Wydzial Lekarski z Oddzialem Nauczania w Jezyku Angielskim. Oddzialem Fizjoterapii"
"Slaski Uniwersytet Medyczny w Katowicach; Wydzial Zdrowia Publicznego" "Slaski Uniwersytet Medyczny w Katowicach; Wydzial Zdrowia Publicznego" 46.61 283 0.5 20 11.87 "B" "Slaski Uniwersytet Medyczny w Katowicach; Wydzial Zdrowia Publicznego"
"Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Farmaceutyczny z Oddzialem Analityki Medycznej" "Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Farmaceutyczny z Oddzialem Analityki Medycznej" 36.11 540 14.46 77.5 10.87 "B" "Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Farmaceutyczny z Oddzialem Analityki Medycznej"
"Akademia Wychowania Fizycznego im. Bronislawa Czecha w Krakowie; Wydzial Rehabilitacji Ruchowej" "Akademia Wychowania Fizycznego im. Bronislawa Czecha w Krakowie; Wydzial Rehabilitacji Ruchowej" 44.13 365 0.73 37 10.8 "B" "Akademia Wychowania Fizycznego im. Bronislawa Czecha w Krakowie; Wydzial Rehabilitacji Ruchowej"
"Centrum Medyczne Ksztalcenia Podyplomowego w Warszawie" "Centrum Medyczne Ksztalcenia Podyplomowego w Warszawie" 41.51 668 0.47 65 9.93 "B" "Centrum Medyczne Ksztalcenia Podyplomowego w Warszawie"
"Slaski Uniwersytet Medyczny w Katowicach; Wydzial Lekarski w Katowicach" "Slaski Uniwersytet Medyczny w Katowicach; Wydzial Lekarski w Katowicach" 43.33 1328 0 45 7.38 "B" "Slaski Uniwersytet Medyczny w Katowicach; Wydzial Lekarski w Katowicach"
"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydzial Nauk o Zdrowiu" "Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydzial Nauk o Zdrowiu" 39.47 724 0.7 60 4.03 "B" "Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydzial Nauk o Zdrowiu"
"Uniwersytet Jana Kochanowskiego w Kielcach; Wydzial Nauk o Zdrowiu" "Uniwersytet Jana Kochanowskiego w Kielcach; Wydzial Nauk o Zdrowiu" 41.01 448 0.4 57.5 2.7 "B" "Uniwersytet Jana Kochanowskiego w Kielcach; Wydzial Nauk o Zdrowiu"
"Pomorski Uniwersytet Medyczny w Szczecinie; Wydzial Lekarsko-Stomatologiczny" "Pomorski Uniwersytet Medyczny w Szczecinie; Wydzial Lekarsko-Stomatologiczny" 40.78 606 0.37 40 -2.24 "B" "Pomorski Uniwersytet Medyczny w Szczecinie; Wydzial Lekarsko-Stomatologiczny"
"Slaski Uniwersytet Medyczny w Katowicach; Wydzial Lekarski z Oddzialem Lekarsko-Dentystycznym w Zabrzu" "Slaski Uniwersytet Medyczny w Katowicach; Wydzial Lekarski z Oddzialem Lekarsko-Dentystycznym w Zabrzu" 41.2 1137 0.17 27.5 -2.64 "B" "Slaski Uniwersytet Medyczny w Katowicach; Wydzial Lekarski z Oddzialem Lekarsko-Dentystycznym w Zabrzu"
"Uniwersytet Medyczny w Lublinie; Wydzial Pielegniarstwa i Nauk o Zdrowiu" "Uniwersytet Medyczny w Lublinie; Wydzial Pielegniarstwa i Nauk o Zdrowiu" 35.44 324 18.84 42.5 -3.2 "B" "Uniwersytet Medyczny w Lublinie; Wydzial Pielegniarstwa i Nauk o Zdrowiu"
"Wyzsza Szkola Informatyki i Zarzadzania w Rzeszowie; Wydzial Turystyki i Nauk o Zdrowiu" "Wyzsza Szkola Informatyki i Zarzadzania w Rzeszowie; Wydzial Turystyki i Nauk o Zdrowiu" 35.78 216 5.21 47.5 -3.35 "B" "Wyzsza Szkola Informatyki i Zarzadzania w Rzeszowie; Wydzial Turystyki i Nauk o Zdrowiu"
"Uniwersytet Medyczny w Lodzi; Wydzial Wojskowo-Lekarski" "Uniwersytet Medyczny w Lodzi; Wydzial Wojskowo-Lekarski" 39.37 645 0.65 24 -7.05 "B" "Uniwersytet Medyczny w Lodzi; Wydzial Wojskowo-Lekarski"
"Slaski Uniwersytet Medyczny w Katowicach; Wydzial Nauk o Zdrowiu" "Slaski Uniwersytet Medyczny w Katowicach; Wydzial Nauk o Zdrowiu" 39.81 621 0.5 10 -9.46 "B" "Slaski Uniwersytet Medyczny w Katowicach; Wydzial Nauk o Zdrowiu"
"Uniwersytet Szczecinski; Wydzial Kultury Fizycznej i Promocji Zdrowia" "Uniwersytet Szczecinski; Wydzial Kultury Fizycznej i Promocji Zdrowia" 41.78 41 0.05 20 -11.15 "B" "Uniwersytet Szczecinski; Wydzial Kultury Fizycznej i Promocji Zdrowia"
"Akademia Wychowania Fizycznego we Wroclawiu; Wydzial Fizjoterapii" "Akademia Wychowania Fizycznego we Wroclawiu; Wydzial Fizjoterapii" 36.05 439 0.45 67.5 -12.14 "B" "Akademia Wychowania Fizycznego we Wroclawiu; Wydzial Fizjoterapii"
"Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Lekarsko-Stomatologiczny" "Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Lekarsko-Stomatologiczny" 35.08 499 0.46 75 -12.78 "B" "Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu; Wydzial Lekarsko-Stomatologiczny"
"Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauk Medycznych" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauk Medycznych" 34.52 321 1.96 42.5 -14.7 "B" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauk Medycznych"
"Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu; Wydzial Wychowania Fizycznego. Sportu i Rehabilitacji" "Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu; Wydzial Wychowania Fizycznego. Sportu i Rehabilitacji" 30.81 619 2.4 59 -15.63 "B" "Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu; Wydzial Wychowania Fizycznego. Sportu i Rehabilitacji"
"Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach; Wydzial Fizjoterapii" "Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach; Wydzial Fizjoterapii" 35.67 66 0.23 68.5 -19.71 "B" "Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach; Wydzial Fizjoterapii"
"Uniwersytet Mikolaja Kopernika w Toruniu; Collegium Medicum im. Ludwika Rydygiera w Bydgoszczy; Wydzial Nauk o Zdrowiu" "Uniwersytet Mikolaja Kopernika w Toruniu; Collegium Medicum im. Ludwika Rydygiera w Bydgoszczy; Wydzial Nauk o Zdrowiu" 34.37 529 0.21 60 -21.61 "B" "Uniwersytet Mikolaja Kopernika w Toruniu; Collegium Medicum im. Ludwika Rydygiera w Bydgoszczy; Wydzial Nauk o Zdrowiu"
"Uniwersytet Rzeszowski; Wydzial Medyczny" "Uniwersytet Rzeszowski; Wydzial Medyczny" 35.49 378 0 57.5 -21.81 "B" "Uniwersytet Rzeszowski; Wydzial Medyczny"
"Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie; Wydzial Rehabilitacji" "Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie; Wydzial Rehabilitacji" 28.86 313 1.77 62.5 -28.24 "B" "Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie; Wydzial Rehabilitacji"
"Uniwersytet Medyczny w Lublinie; I Wydzial Lekarski z Oddzialem Stomatologicznym" "Uniwersytet Medyczny w Lublinie; I Wydzial Lekarski z Oddzialem Stomatologicznym" 34.48 1058 0.08 20 -28.73 "B" "Uniwersytet Medyczny w Lublinie; I Wydzial Lekarski z Oddzialem Stomatologicznym"
"Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach; Wydzial Wychowania Fizycznego" "Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach; Wydzial Wychowania Fizycznego" 32.03 488 0.21 62.5 -29.37 "B" "Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach; Wydzial Wychowania Fizycznego"
"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie; Wydzial Zdrowia i Nauk Medycznych" "Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie; Wydzial Zdrowia i Nauk Medycznych" 29.7 245 6.35 12.5 -30.08 "B" "Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie; Wydzial Zdrowia i Nauk Medycznych"
"Akademia Wychowania Fizycznego we Wroclawiu; Wydzial Wychowania Fizycznego" "Akademia Wychowania Fizycznego we Wroclawiu; Wydzial Wychowania Fizycznego" 30.29 425 0.55 67.5 -30.42 "B" "Akademia Wychowania Fizycznego we Wroclawiu; Wydzial Wychowania Fizycznego"
"Wyzsza Szkola Gospodarki w Bydgoszczy" "Wyzsza Szkola Gospodarki w Bydgoszczy" 37.2 0 0 4 -30.45 "B" "Wyzsza Szkola Gospodarki w Bydgoszczy"
