"Nazwa" "Osiagniecia_naukowe_i_tworcze" "Potencjal_naukowy" "Materialne_efekty_dzialalnosci_naukowej" "Pozostale_efekty_dzialalnosci_naukowej" "Ocena_ostateczna" "Kategoria" "nazwy"
"Politechnika Bialostocka; Wydzial Zarzadzania" "Politechnika Bialostocka; Wydzial Zarzadzania" 27.38 104 1.37 45 7.58 "B" "Politechnika Bialostocka; Wydzial Zarzadzania"
"Politechnika Warszawska; Wydzial Zarzadzania" "Politechnika Warszawska; Wydzial Zarzadzania" 26.23 97 0.26 65 4.51 "B" "Politechnika Warszawska; Wydzial Zarzadzania"
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Ekonomiczny" "Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Ekonomiczny" 28.5 107 0.18 35 3.61 "B" "Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Ekonomiczny"
"Uniwersytet w Bialymstoku; Wydzial Ekonomii i Zarzadzania" "Uniwersytet w Bialymstoku; Wydzial Ekonomii i Zarzadzania" 25.84 241 2.3 30 2.08 "B" "Uniwersytet w Bialymstoku; Wydzial Ekonomii i Zarzadzania"
"Wyzsza Szkola Logistyki w Poznaniu; Wydzial Zarzadzania i Logistyki" "Wyzsza Szkola Logistyki w Poznaniu; Wydzial Zarzadzania i Logistyki" 28.77 39 3.59 30 1.43 "B" "Wyzsza Szkola Logistyki w Poznaniu; Wydzial Zarzadzania i Logistyki"
"Politechnika Rzeszowska im. Ignacego Lukasiewicza; Wydzial Zarzadzania" "Politechnika Rzeszowska im. Ignacego Lukasiewicza; Wydzial Zarzadzania" 30.2 50 0 30 1.21 "B" "Politechnika Rzeszowska im. Ignacego Lukasiewicza; Wydzial Zarzadzania"
"Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Ekonomiczny" "Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Ekonomiczny" 23.95 186 0.86 75 0.69 "B" "Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Ekonomiczny"
"Politechnika Poznanska; Wydzial Inzynierii Zarzadzania" "Politechnika Poznanska; Wydzial Inzynierii Zarzadzania" 26.19 152 1.34 32.5 -0.16 "B" "Politechnika Poznanska; Wydzial Inzynierii Zarzadzania"
"Uniwersytet Rzeszowski; Wydzial Ekonomii" "Uniwersytet Rzeszowski; Wydzial Ekonomii" 29.31 39 0.18 32.5 -1.87 "B" "Uniwersytet Rzeszowski; Wydzial Ekonomii"
"Uniwersytet Opolski; Wydzial Ekonomiczny" "Uniwersytet Opolski; Wydzial Ekonomiczny" 27.86 71 0.06 37.5 -2.27 "B" "Uniwersytet Opolski; Wydzial Ekonomiczny"
"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w Bydgoszczy; Wydzial Zarzadzania" "Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w Bydgoszczy; Wydzial Zarzadzania" 27.46 67 0.14 39 -3.53 "B" "Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w Bydgoszczy; Wydzial Zarzadzania"
"Szkola Wyzsza im. Bogdana Janskiego w Warszawie; Wydzial Zarzadzania w Warszawie" "Szkola Wyzsza im. Bogdana Janskiego w Warszawie; Wydzial Zarzadzania w Warszawie" 27.07 57 1.23 32.5 -4.78 "B" "Szkola Wyzsza im. Bogdana Janskiego w Warszawie; Wydzial Zarzadzania w Warszawie"
"Wy¿sza Szko³a Zarz¹dzania \"Edukacja\" we Wroc³awiu; Wydzia³ Zarz¹dzania" "Wy¿sza Szko³a Zarz¹dzania \"Edukacja\" we Wroc³awiu; Wydzia³ Zarz¹dzania" 27.96 78 0.39 20 -5.53 "B" "Wy¿sza Szko³a Zarz¹dzania \"Edukacja\" we Wroc³awiu; Wydzia³ Zarz¹dzania"
"Wy¿sza Szko³a Zarz¹dzania i Administracji w Zamoœciu; Wydzia³ Zarz¹dzania i Administracji" "Wy¿sza Szko³a Zarz¹dzania i Administracji w Zamoœciu; Wydzia³ Zarz¹dzania i Administracji" 27.5 18 8.43 25 -8.03 "B" "Wy¿sza Szko³a Zarz¹dzania i Administracji w Zamoœciu; Wydzia³ Zarz¹dzania i Administracji"
"Akademia Techniczno-Humanistyczna w Bielsku-Bia³ej; Wydzia³ Zarz¹dzania i Informatyki" "Akademia Techniczno-Humanistyczna w Bielsku-Bia³ej; Wydzia³ Zarz¹dzania i Informatyki" 24.87 96 0 40 -14.82 "B" "Akademia Techniczno-Humanistyczna w Bielsku-Bia³ej; Wydzia³ Zarz¹dzania i Informatyki"
"Wy¿sza Szko³a Zarz¹dzania w Gdañsku; Wydzia³ Informatyki i Zarz¹dzania" "Wy¿sza Szko³a Zarz¹dzania w Gdañsku; Wydzia³ Informatyki i Zarz¹dzania" 28.77 13 0 8 -16.48 "B" "Wy¿sza Szko³a Zarz¹dzania w Gdañsku; Wydzia³ Informatyki i Zarz¹dzania"
"Politechnika Opolska; Wydzia³ Ekonomii i Zarz¹dzania" "Politechnika Opolska; Wydzia³ Ekonomii i Zarz¹dzania" 24.58 101 0.79 20 -20.3 "B" "Politechnika Opolska; Wydzia³ Ekonomii i Zarz¹dzania"
"Politechnika Koszaliñska; Wydzia³ Nauk Ekonomicznych" "Politechnika Koszaliñska; Wydzia³ Nauk Ekonomicznych" 25.18 38 0.07 35 -22.07 "B" "Politechnika Koszaliñska; Wydzia³ Nauk Ekonomicznych"
"Akademia Finansów i Biznesu Vistula; Instytut Zarz¹dzania Ryzykiem" "Akademia Finansów i Biznesu Vistula; Instytut Zarz¹dzania Ryzykiem" 24.81 63 0.13 2.5 -31.28 "B" "Akademia Finansów i Biznesu Vistula; Instytut Zarz¹dzania Ryzykiem"
"Uniwersytet w Bia³ymstoku; Wydzia³ Ekonomiczno-Informatyczny w Wilnie" "Uniwersytet w Bia³ymstoku; Wydzia³ Ekonomiczno-Informatyczny w Wilnie" 24.71 12 0 25 -31.64 "B" "Uniwersytet w Bia³ymstoku; Wydzia³ Ekonomiczno-Informatyczny w Wilnie"
"Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydzia³ Nauk Ekonomicznych i Prawnych" "Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydzia³ Nauk Ekonomicznych i Prawnych" 22.79 68 0.04 35 -33.28 "B" "Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydzia³ Nauk Ekonomicznych i Prawnych"
"Wy¿sza Szko³a Gospodarki Euroregionalnej im. Alcide De Gasperi w Józefowie" "Wy¿sza Szko³a Gospodarki Euroregionalnej im. Alcide De Gasperi w Józefowie" 21.54 27 1.62 35 -40.52 "B" "Wy¿sza Szko³a Gospodarki Euroregionalnej im. Alcide De Gasperi w Józefowie"
"Politechnika Lubelska; Wydzia³ Zarz¹dzania" "Politechnika Lubelska; Wydzia³ Zarz¹dzania" 22.07 81 0.03 20 -42.21 "B" "Politechnika Lubelska; Wydzia³ Zarz¹dzania"
"Wy¿sza Szko³a Bankowa w Poznaniu; Wydzia³ Finansów i Bankowoœci" "Wy¿sza Szko³a Bankowa w Poznaniu; Wydzia³ Finansów i Bankowoœci" 21.22 18 0.2 40 -45.58 "B" "Wy¿sza Szko³a Bankowa w Poznaniu; Wydzia³ Finansów i Bankowoœci"
"Wy¿sza Szko³a Handlowa we Wroc³awiu; Wydzia³ Ekonomiczno-Mened¿erski" "Wy¿sza Szko³a Handlowa we Wroc³awiu; Wydzia³ Ekonomiczno-Mened¿erski" 21.17 25 2.69 22.5 -46.88 "B" "Wy¿sza Szko³a Handlowa we Wroc³awiu; Wydzia³ Ekonomiczno-Mened¿erski"
"Wy¿sza Szko³a Zarz¹dzania i Bankowoœci w Krakowie; Wydzia³ Zarz¹dzania i Informatyki" "Wy¿sza Szko³a Zarz¹dzania i Bankowoœci w Krakowie; Wydzia³ Zarz¹dzania i Informatyki" 21.74 15 0 20 -52.32 "B" "Wy¿sza Szko³a Zarz¹dzania i Bankowoœci w Krakowie; Wydzia³ Zarz¹dzania i Informatyki"
"Wy¿sza Szko³a Zarz¹dzania i Bankowoœci w Krakowie; Wydzia³ Nauk Ekonomicznych i Spo³ecznych" "Wy¿sza Szko³a Zarz¹dzania i Bankowoœci w Krakowie; Wydzia³ Nauk Ekonomicznych i Spo³ecznych" 21.29 31 0 20 -53.89 "B" "Wy¿sza Szko³a Zarz¹dzania i Bankowoœci w Krakowie; Wydzia³ Nauk Ekonomicznych i Spo³ecznych"
"Uczelnia £azarskiego w Warszawie; Wydzia³ Ekonomii i Zarz¹dzania" "Uczelnia £azarskiego w Warszawie; Wydzia³ Ekonomii i Zarz¹dzania" 17.58 57 1.32 30 -53.93 "B" "Uczelnia £azarskiego w Warszawie; Wydzia³ Ekonomii i Zarz¹dzania"
"Szko³a G³ówna Turystyki i Rekreacji; Wydzia³ Turystyki i Rekreacji" "Szko³a G³ówna Turystyki i Rekreacji; Wydzia³ Turystyki i Rekreacji" 21.87 13 0 0 -56.6 "B" "Szko³a G³ówna Turystyki i Rekreacji; Wydzia³ Turystyki i Rekreacji"
"Wy¿sza Szko³a Bankowa w Gdañsku; Wydzia³ Finansów i Z¹rzadzania" "Wy¿sza Szko³a Bankowa w Gdañsku; Wydzia³ Finansów i Z¹rzadzania" 18.68 44 0 30 -58.15 "B" "Wy¿sza Szko³a Bankowa w Gdañsku; Wydzia³ Finansów i Z¹rzadzania"
"Wy¿sza Szko³a Finansów i Zarz¹dzania w Bia³ymstoku; Wydzia³ Zarz¹dzania Filia w E³ku" "Wy¿sza Szko³a Finansów i Zarz¹dzania w Bia³ymstoku; Wydzia³ Zarz¹dzania Filia w E³ku" 21.16 18 0 0 -60.56 "B" "Wy¿sza Szko³a Finansów i Zarz¹dzania w Bia³ymstoku; Wydzia³ Zarz¹dzania Filia w E³ku"
"Wy¿sza Szko³a Mened¿erska w Warszawie; Wydzia³ Mened¿erski" "Wy¿sza Szko³a Mened¿erska w Warszawie; Wydzia³ Mened¿erski" 17.63 15 1.99 19 -62.11 "B" "Wy¿sza Szko³a Mened¿erska w Warszawie; Wydzia³ Mened¿erski"
"Wy¿sza Szko³a Finansów i Zarz¹dzania w Bia³ymstoku; Wydzia³ Nauk Ekonomicznych" "Wy¿sza Szko³a Finansów i Zarz¹dzania w Bia³ymstoku; Wydzia³ Nauk Ekonomicznych" 19.81 39 0.04 10 -62.77 "B" "Wy¿sza Szko³a Finansów i Zarz¹dzania w Bia³ymstoku; Wydzia³ Nauk Ekonomicznych"
"Wy¿sza Szko³a Bankowa w Toruniu" "Wy¿sza Szko³a Bankowa w Toruniu" 14.11 68 0 35 -63.61 "B" "Wy¿sza Szko³a Bankowa w Toruniu"
"Wy¿sza Szko³a Bankowa we Wroc³awiu; Wydzia³ Finansów i Zarz¹dzania" "Wy¿sza Szko³a Bankowa we Wroc³awiu; Wydzia³ Finansów i Zarz¹dzania" 16.44 31 0.01 35 -64.02 "B" "Wy¿sza Szko³a Bankowa we Wroc³awiu; Wydzia³ Finansów i Zarz¹dzania"
"Wy¿sza Szko³a Finansów i Zarz¹dzania w Bia³ymstoku; Wydzia³ Zamiejscowy w Ostrowi Mazowieckiej" "Wy¿sza Szko³a Finansów i Zarz¹dzania w Bia³ymstoku; Wydzia³ Zamiejscowy w Ostrowi Mazowieckiej" 20.37 0 0 0 -65.63 "B" "Wy¿sza Szko³a Finansów i Zarz¹dzania w Bia³ymstoku; Wydzia³ Zamiejscowy w Ostrowi Mazowieckiej"
"Politechnika Warszawska; Kolegium Nauk Ekonomicznych i Spo³ecznych" "Politechnika Warszawska; Kolegium Nauk Ekonomicznych i Spo³ecznych" 18.45 19 0 15 -67.06 "B" "Politechnika Warszawska; Kolegium Nauk Ekonomicznych i Spo³ecznych"
"Ma³opolska Wy¿sza Szko³a Ekonomiczna w Tarnowie; Wydzia³ Zarz¹dzania i Turystyki" "Ma³opolska Wy¿sza Szko³a Ekonomiczna w Tarnowie; Wydzia³ Zarz¹dzania i Turystyki" 18.16 9 0 12.5 -69.49 "B" "Ma³opolska Wy¿sza Szko³a Ekonomiczna w Tarnowie; Wydzia³ Zarz¹dzania i Turystyki"
"Wy¿sza Szko³a Zarz¹dzania Marketingowego i Jêzyków Obcych w Katowicach; Wydzia³ Ekonomiczno-In¿ynieryjny" "Wy¿sza Szko³a Zarz¹dzania Marketingowego i Jêzyków Obcych w Katowicach; Wydzia³ Ekonomiczno-In¿ynieryjny" 17.1 9 0 20 -70.25 "B" "Wy¿sza Szko³a Zarz¹dzania Marketingowego i Jêzyków Obcych w Katowicach; Wydzia³ Ekonomiczno-In¿ynieryjny"
"Górnoœl¹ska Wy¿sza Szko³a Handlowa im. Wojciecha Korfantego w Katowicach; Wydzia³ Zarz¹dzania" "Górnoœl¹ska Wy¿sza Szko³a Handlowa im. Wojciecha Korfantego w Katowicach; Wydzia³ Zarz¹dzania" 6.22 97 0 0 -81.06 "C" "Górnoœl¹ska Wy¿sza Szko³a Handlowa im. Wojciecha Korfantego w Katowicach; Wydzia³ Zarz¹dzania"
"Dolnoœl¹ska Szko³a Wy¿sza we Wroc³awiu; Wydzia³ Nauk Technicznych" "Dolnoœl¹ska Szko³a Wy¿sza we Wroc³awiu; Wydzia³ Nauk Technicznych" 4.76 2 8.38 10 -81.92 "C" "Dolnoœl¹ska Szko³a Wy¿sza we Wroc³awiu; Wydzia³ Nauk Technicznych"
