Rank,Country,Score,Value,Percentage Rank,S/W
90,Paraguay,23.9,-,0.36,
91,Georgia,23.6,-,0.36,
92,Jamaica,23.5,-,0.35,
93,Botswana,23.4,-,0.34,
94,Ghana,23.1,-,0.34,
95,Mauritius,23.1,-,0.33,
96,Swaziland,22.8,-,0.32,
97,Myanmar,22.7,-,0.31,•
98,Ecuador,22.3,-,0.31,
99,Rwanda,21.9,-,0.30,
100,Azerbaijan,21.9,-,0.29,
101,Albania,21.8,-,0.29,
102,Mozambique,21.1,-,0.28,
103,India,20.0,-,0.27,
104,Zimbabwe,19.0,-,0.26,
105,Armenia,19.0,-,0.26,
106,Honduras,19.0,-,0.25,
107,Dominican Republic,18.8,-,0.24,
108,Namibia,18.4,-,0.24,
109,Uganda,18.3,-,0.23,
110,Guatemala,18.2,-,0.22,
111,Cameroon,18.1,-,0.21,
112,Sri Lanka,17.8,-,0.21,
113,Cabo Verde,17.5,-,0.20,
114,Bhutan,17.5,-,0.19,
115,Burundi,17.3,-,0.19,
116,El Salvador,17.2,-,0.18,
117,Nepal,16.0,-,0.17,
118,Côte d'Ivoire,16.0,-,0.16,
119,Burkina Faso,15.7,-,0.16,
120,Madagascar,15.3,-,0.15,
121,Sudan,15.1,-,0.14,
122,Cambodia,14.8,-,0.14,
123,Philippines,14.8,-,0.13,
124,Mali,14.7,-,0.12,
125,Kenya,14.7,-,0.11,
126,Bangladesh,14.5,-,0.11,
127,Yemen,14.5,-,0.10,
128,Senegal,14.3,-,0.09,
129,Guyana,14.0,-,0.09,º
130,Angola,13.7,-,0.08,
131,Togo,13.6,-,0.07,
132,Ethiopia,13.3,-,0.06,
133,"Tanzania, United Republic of",12.9,-,0.06,º
134,Pakistan,12.8,-,0.05,º
135,Niger,11.7,-,0.04,
136,Malawi,11.5,-,0.04,º
137,Nigeria,11.5,-,0.03,º
138,Gambia,11.2,-,0.02,º
139,Nicaragua,10.4,-,0.01,º
140,Guinea,7.6,-,0.01,º
141,Zambia,6.3,-,0.00,º
142,Isle of Man,0.0,-,0.00,
142,Gibraltar,0.0,-,0.00,
142,Channel Islands,0.0,-,0.00,
142,Gabon,0.0,-,0.00,
142,Syrian Arab Republic,0.0,-,0.00,
142,Iraq,0.0,-,0.00,
142,Suriname,0.0,-,0.00,
142,Belize,0.0,-,0.00,
142,Tonga,0.0,-,0.00,
142,Afghanistan,0.0,-,0.00,
142,Chad,0.0,-,0.00,
142,Mauritania,0.0,-,0.00,
142,Haiti,0.0,-,0.00,
142,Sierra Leone,0.0,-,0.00,
142,Djibouti,0.0,-,0.00,
142,Saint Lucia,0.0,-,0.00,
142,Antigua and Barbuda,0.0,-,0.00,
142,Central African Republic,0.0,-,0.00,
142,"Congo, Democratic Republic of the",0.0,-,0.00,
142,Papua New Guinea,0.0,-,0.00,
142,Saint Vincent and the Grenadines,0.0,-,0.00,
142,Congo,0.0,-,0.00,
142,Samoa,0.0,-,0.00,
142,Eritrea,0.0,-,0.00,
142,Solomon Islands,0.0,-,0.00,
142,Vanuatu,0.0,-,0.00,
142,Guinea Bissau,0.0,-,0.00,
142,Liberia,0.0,-,0.00,
142,Maldives,0.0,-,0.00,
142,Saint Kitts and Nevis,0.0,-,0.00,
142,Timor-Leste,0.0,-,0.00,
142,Grenada,0.0,-,0.00,
142,Libya,0.0,-,0.00,
142,Bahamas,0.0,-,0.00,
142,Dominica,0.0,-,0.00,
142,Sao Tome and Principe,0.0,-,0.00,
142,Comoros,0.0,-,0.00,
142,Cuba,0.0,-,0.00,
142,Bermuda,0.0,-,0.00,
142,Kiribati,0.0,-,0.00,
142,Puerto Rico,0.0,-,0.00,
142,Aruba,0.0,-,0.00,
142,Macao,0.0,-,0.00,
142,Equatorial Guinea,0.0,-,0.00,
142,"Palestinian Territory, Occupied",0.0,-,0.00,
142,San Marino,0.0,-,0.00,
142,Turkmenistan,0.0,-,0.00,
142,Palau,0.0,-,0.00,
142,"Micronesia, Federated States of",0.0,-,0.00,
142,Liechtenstein,0.0,-,0.00,
142,Marshall Islands,0.0,-,0.00,
142,"Taiwan, Province of China",0.0,-,0.00,
142,South Sudan,0.0,-,0.00,
142,Andorra,0.0,-,0.00,
142,"Korea, Democratic People's Republic of",0.0,-,0.00,
142,Somalia,0.0,-,0.00,
142,Netherlands Antilles,0.0,-,0.00,
142,French Polynesia,0.0,-,0.00,
142,Monaco,0.0,-,0.00,
142,New Caledonia,0.0,-,0.00,
142,Anguilla,0.0,-,0.00,
142,Cook Islands,0.0,-,0.00,
142,Montserrat,0.0,-,0.00,
142,Tuvalu,0.0,-,0.00,
142,Cayman Islands,0.0,-,0.00,
142,Faroe Islands,0.0,-,0.00,
142,Guam,0.0,-,0.00,
142,Nauru,0.0,-,0.00,
142,Réunion,0.0,-,0.00,
142,"Virgin Islands, British",0.0,-,0.00,
142,"Virgin Islands, U.S.",0.0,-,0.00,
142,French Guiana,0.0,-,0.00,
142,Kosovo,0.0,-,0.00,
142,Martinique,0.0,-,0.00,
142,Curaçao,0.0,-,0.00,
142,American Samoa,0.0,-,0.00,
142,Greenland,0.0,-,0.00,
142,Sint Maarten (Dutch part),0.0,-,0.00,
142,Turks and Caicos Islands,0.0,-,0.00,
142,Northern Mariana Islands,0.0,-,0.00,
142,Tokelau,0.0,-,0.00,
142,Saint Martin (French part),0.0,-,0.00,
142,Sudan (pre-secession),0.0,-,0.00,
142,Holy See (Vatican City State),0.0,-,0.00,
142,Mayotte,0.0,-,0.00,
142,Niue,0.0,-,0.00,
142,Jersey,0.0,-,0.00,
