Rank,Country,Score,Value,Percentage Rank,S/W
120,Costa Rica,38.4,-,0.15,º
121,Nepal,37.9,-,0.14,
122,Nigeria,37.6,-,0.14,
123,Ghana,37.5,-,0.13,
124,Algeria,36.8,-,0.12,
125,Myanmar,36.4,-,0.11,
126,Gambia,36.0,-,0.11,
127,Argentina,35.9,-,0.10,
128,Egypt,35.9,-,0.09,º
129,Pakistan,35.8,-,0.09,
130,Guinea,35.4,-,0.08,
131,Angola,35.3,-,0.07,
132,Côte d'Ivoire,35.3,-,0.06,º
133,Yemen,35.3,-,0.06,
134,Guyana,35.1,-,0.05,º
135,Tunisia,35.0,-,0.04,º
136,"Tanzania, United Republic of",33.6,-,0.04,º
137,Ethiopia,31.9,-,0.03,º
138,Seychelles,31.1,-,0.02,º
139,"Iran, Islamic Republic of",29.9,-,0.01,º
140,Sudan,28.6,-,0.01,º
141,"Venezuela, Bolivarian Republic of",27.3,-,0.00,º
142,Gabon,5.6,-,0.00,
142,Syrian Arab Republic,5.6,-,0.00,
142,Iraq,5.6,-,0.00,
142,Suriname,5.6,-,0.00,
142,Belize,5.6,-,0.00,
142,Tonga,5.6,-,0.00,
142,Afghanistan,5.6,-,0.00,
142,Chad,5.6,-,0.00,
142,Mauritania,5.6,-,0.00,
142,Haiti,5.6,-,0.00,
142,Isle of Man,5.6,-,0.00,
142,Gibraltar,5.6,-,0.00,
142,Channel Islands,5.6,-,0.00,
142,Sierra Leone,5.6,-,0.00,
142,Djibouti,5.6,-,0.00,
142,Saint Lucia,5.6,-,0.00,
142,Antigua and Barbuda,5.6,-,0.00,
142,Central African Republic,5.6,-,0.00,
142,"Congo, Democratic Republic of the",5.6,-,0.00,
142,Papua New Guinea,5.6,-,0.00,
142,Saint Vincent and the Grenadines,5.6,-,0.00,
142,Congo,5.6,-,0.00,
142,Samoa,5.6,-,0.00,
142,Eritrea,5.6,-,0.00,
142,Solomon Islands,5.6,-,0.00,
142,Vanuatu,5.6,-,0.00,
142,Guinea Bissau,5.6,-,0.00,
142,Liberia,5.6,-,0.00,
142,Maldives,5.6,-,0.00,
142,Saint Kitts and Nevis,5.6,-,0.00,
142,Timor-Leste,5.6,-,0.00,
142,Grenada,5.6,-,0.00,
142,Libya,5.6,-,0.00,
142,Bahamas,5.6,-,0.00,
142,Dominica,5.6,-,0.00,
142,Sao Tome and Principe,5.6,-,0.00,
142,Comoros,5.6,-,0.00,
142,Cuba,5.6,-,0.00,
142,Bermuda,5.6,-,0.00,
142,Kiribati,5.6,-,0.00,
142,Puerto Rico,5.6,-,0.00,
142,Aruba,5.6,-,0.00,
142,Macao,5.6,-,0.00,
142,Equatorial Guinea,5.6,-,0.00,
142,"Palestinian Territory, Occupied",5.6,-,0.00,
142,San Marino,5.6,-,0.00,
142,Turkmenistan,5.6,-,0.00,
142,Palau,5.6,-,0.00,
142,"Micronesia, Federated States of",5.6,-,0.00,
142,Liechtenstein,5.6,-,0.00,
142,Marshall Islands,5.6,-,0.00,
142,"Taiwan, Province of China",5.6,-,0.00,
142,South Sudan,5.6,-,0.00,
142,Andorra,5.6,-,0.00,
142,"Korea, Democratic People's Republic of",5.6,-,0.00,
142,Somalia,5.6,-,0.00,
142,Netherlands Antilles,5.6,-,0.00,
142,French Polynesia,5.6,-,0.00,
142,Monaco,5.6,-,0.00,
142,New Caledonia,5.6,-,0.00,
142,Anguilla,5.6,-,0.00,
142,Cook Islands,5.6,-,0.00,
142,Montserrat,5.6,-,0.00,
142,Tuvalu,5.6,-,0.00,
142,Cayman Islands,5.6,-,0.00,
142,Faroe Islands,5.6,-,0.00,
142,Guam,5.6,-,0.00,
142,Nauru,5.6,-,0.00,
142,Réunion,5.6,-,0.00,
142,"Virgin Islands, British",5.6,-,0.00,
142,"Virgin Islands, U.S.",5.6,-,0.00,
142,French Guiana,5.6,-,0.00,
142,Kosovo,5.6,-,0.00,
142,Martinique,5.6,-,0.00,
142,Curaçao,5.6,-,0.00,
142,American Samoa,5.6,-,0.00,
142,Greenland,5.6,-,0.00,
142,Sint Maarten (Dutch part),5.6,-,0.00,
142,Turks and Caicos Islands,5.6,-,0.00,
142,Northern Mariana Islands,5.6,-,0.00,
142,Tokelau,5.6,-,0.00,
142,Saint Martin (French part),5.6,-,0.00,
142,Sudan (pre-secession),5.6,-,0.00,
142,Mayotte,5.6,-,0.00,
142,Jersey,5.6,-,0.00,
142,Holy See (Vatican City State),5.6,-,0.00,
142,Niue,5.6,-,0.00,
