"Country","Score","Coefficient","Year","Region","nr.Coefficient","group.Coefficient"
"Nepal",3.5,"Research and development (R&D)",2015,"Central_and_Southern_Asia",2.3,"Human capital and research"
"Sri Lanka",3.5,"Research and development (R&D)",2015,"Central_and_Southern_Asia",2.3,"Human capital and research"
"Uzbekistan",3.2,"Research and development (R&D)",2015,"Central_and_Southern_Asia",2.3,"Human capital and research"
"Kyrgyzstan",1.7,"Research and development (R&D)",2015,"Central_and_Southern_Asia",2.3,"Human capital and research"
"Tajikistan",1.3,"Research and development (R&D)",2015,"Central_and_Southern_Asia",2.3,"Human capital and research"
"Bhutan",0,"Research and development (R&D)",2015,"Central_and_Southern_Asia",2.3,"Human capital and research"
"Kazakhstan",65.7,"Information and communication technologies (ICTs)",2015,"Central_and_Southern_Asia",3.1,"Infrastructure"
"Sri Lanka",44.9,"Information and communication technologies (ICTs)",2015,"Central_and_Southern_Asia",3.1,"Infrastructure"
"India",38.6,"Information and communication technologies (ICTs)",2015,"Central_and_Southern_Asia",3.1,"Infrastructure"
"Uzbekistan",35.6,"Information and communication technologies (ICTs)",2015,"Central_and_Southern_Asia",3.1,"Infrastructure"
"Iran, Islamic Republic of",34,"Information and communication technologies (ICTs)",2015,"Central_and_Southern_Asia",3.1,"Infrastructure"
"Kyrgyzstan",31.3,"Information and communication technologies (ICTs)",2015,"Central_and_Southern_Asia",3.1,"Infrastructure"
"Bhutan",27.1,"Information and communication technologies (ICTs)",2015,"Central_and_Southern_Asia",3.1,"Infrastructure"
"Bangladesh",25.6,"Information and communication technologies (ICTs)",2015,"Central_and_Southern_Asia",3.1,"Infrastructure"
"Pakistan",25,"Information and communication technologies (ICTs)",2015,"Central_and_Southern_Asia",3.1,"Infrastructure"
"Nepal",20.3,"Information and communication technologies (ICTs)",2015,"Central_and_Southern_Asia",3.1,"Infrastructure"
"Tajikistan",9,"Information and communication technologies (ICTs)",2015,"Central_and_Southern_Asia",3.1,"Infrastructure"
"Bhutan",64.8,"General infrastructure",2015,"Central_and_Southern_Asia",3.2,"Infrastructure"
"Iran, Islamic Republic of",56.1,"General infrastructure",2015,"Central_and_Southern_Asia",3.2,"Infrastructure"
"India",38.9,"General infrastructure",2015,"Central_and_Southern_Asia",3.2,"Infrastructure"
"Kazakhstan",35.8,"General infrastructure",2015,"Central_and_Southern_Asia",3.2,"Infrastructure"
"Sri Lanka",33.3,"General infrastructure",2015,"Central_and_Southern_Asia",3.2,"Infrastructure"
"Uzbekistan",29.8,"General infrastructure",2015,"Central_and_Southern_Asia",3.2,"Infrastructure"
"Bangladesh",28.3,"General infrastructure",2015,"Central_and_Southern_Asia",3.2,"Infrastructure"
"Nepal",28,"General infrastructure",2015,"Central_and_Southern_Asia",3.2,"Infrastructure"
"Kyrgyzstan",24.7,"General infrastructure",2015,"Central_and_Southern_Asia",3.2,"Infrastructure"
"Pakistan",15.5,"General infrastructure",2015,"Central_and_Southern_Asia",3.2,"Infrastructure"
"Tajikistan",12.3,"General infrastructure",2015,"Central_and_Southern_Asia",3.2,"Infrastructure"
"Sri Lanka",49,"Ecological sustainability",2015,"Central_and_Southern_Asia",3.3,"Infrastructure"
"Bhutan",33.6,"Ecological sustainability",2015,"Central_and_Southern_Asia",3.3,"Infrastructure"
"Tajikistan",32.7,"Ecological sustainability",2015,"Central_and_Southern_Asia",3.3,"Infrastructure"
"Iran, Islamic Republic of",29.5,"Ecological sustainability",2015,"Central_and_Southern_Asia",3.3,"Infrastructure"
"Pakistan",28.8,"Ecological sustainability",2015,"Central_and_Southern_Asia",3.3,"Infrastructure"
"Kazakhstan",28.3,"Ecological sustainability",2015,"Central_and_Southern_Asia",3.3,"Infrastructure"
"Bangladesh",28,"Ecological sustainability",2015,"Central_and_Southern_Asia",3.3,"Infrastructure"
"India",26.3,"Ecological sustainability",2015,"Central_and_Southern_Asia",3.3,"Infrastructure"
"Nepal",23.9,"Ecological sustainability",2015,"Central_and_Southern_Asia",3.3,"Infrastructure"
"Kyrgyzstan",22,"Ecological sustainability",2015,"Central_and_Southern_Asia",3.3,"Infrastructure"
"Uzbekistan",21.5,"Ecological sustainability",2015,"Central_and_Southern_Asia",3.3,"Infrastructure"
"Bhutan",45.6,"Credit",2015,"Central_and_Southern_Asia",4.1,"Market sophistication"
"Kyrgyzstan",41.8,"Credit",2015,"Central_and_Southern_Asia",4.1,"Market sophistication"
"Tajikistan",33.1,"Credit",2015,"Central_and_Southern_Asia",4.1,"Market sophistication"
"India",28.1,"Credit",2015,"Central_and_Southern_Asia",4.1,"Market sophistication"
"Uzbekistan",25.2,"Credit",2015,"Central_and_Southern_Asia",4.1,"Market sophistication"
"Iran, Islamic Republic of",23.8,"Credit",2015,"Central_and_Southern_Asia",4.1,"Market sophistication"
"Bangladesh",23,"Credit",2015,"Central_and_Southern_Asia",4.1,"Market sophistication"
"Sri Lanka",22.2,"Credit",2015,"Central_and_Southern_Asia",4.1,"Market sophistication"
"Nepal",20.9,"Credit",2015,"Central_and_Southern_Asia",4.1,"Market sophistication"
"Kazakhstan",20.9,"Credit",2015,"Central_and_Southern_Asia",4.1,"Market sophistication"
"Pakistan",11.9,"Credit",2015,"Central_and_Southern_Asia",4.1,"Market sophistication"
"Tajikistan",58.3,"Investment",2015,"Central_and_Southern_Asia",4.2,"Market sophistication"
"Bhutan",50,"Investment",2015,"Central_and_Southern_Asia",4.2,"Market sophistication"
"India",44.3,"Investment",2015,"Central_and_Southern_Asia",4.2,"Market sophistication"
"Kazakhstan",34.8,"Investment",2015,"Central_and_Southern_Asia",4.2,"Market sophistication"
"Sri Lanka",34.5,"Investment",2015,"Central_and_Southern_Asia",4.2,"Market sophistication"
"Bangladesh",34.3,"Investment",2015,"Central_and_Southern_Asia",4.2,"Market sophistication"
"Nepal",31.7,"Investment",2015,"Central_and_Southern_Asia",4.2,"Market sophistication"
"Kyrgyzstan",31.6,"Investment",2015,"Central_and_Southern_Asia",4.2,"Market sophistication"
"Pakistan",29.9,"Investment",2015,"Central_and_Southern_Asia",4.2,"Market sophistication"
"Uzbekistan",26.1,"Investment",2015,"Central_and_Southern_Asia",4.2,"Market sophistication"
"Iran, Islamic Republic of",26,"Investment",2015,"Central_and_Southern_Asia",4.2,"Market sophistication"
"Uzbekistan",82.1,"Trade and competition",2015,"Central_and_Southern_Asia",4.3,"Market sophistication"
"Sri Lanka",77.9,"Trade and competition",2015,"Central_and_Southern_Asia",4.3,"Market sophistication"
"Kyrgyzstan",75.9,"Trade and competition",2015,"Central_and_Southern_Asia",4.3,"Market sophistication"
"Kazakhstan",74.5,"Trade and competition",2015,"Central_and_Southern_Asia",4.3,"Market sophistication"
"Tajikistan",68.5,"Trade and competition",2015,"Central_and_Southern_Asia",4.3,"Market sophistication"
"India",67.2,"Trade and competition",2015,"Central_and_Southern_Asia",4.3,"Market sophistication"
"Pakistan",65.5,"Trade and competition",2015,"Central_and_Southern_Asia",4.3,"Market sophistication"
"Nepal",61,"Trade and competition",2015,"Central_and_Southern_Asia",4.3,"Market sophistication"
"Bangladesh",59.8,"Trade and competition",2015,"Central_and_Southern_Asia",4.3,"Market sophistication"
"Bhutan",48.8,"Trade and competition",2015,"Central_and_Southern_Asia",4.3,"Market sophistication"
"Iran, Islamic Republic of",39.9,"Trade and competition",2015,"Central_and_Southern_Asia",4.3,"Market sophistication"
"Kyrgyzstan",42.8,"Knowledge workers",2015,"Central_and_Southern_Asia",5.1,"Business sophistication"
"Kazakhstan",38,"Knowledge workers",2015,"Central_and_Southern_Asia",5.1,"Business sophistication"
"Bangladesh",28.7,"Knowledge workers",2015,"Central_and_Southern_Asia",5.1,"Business sophistication"
"Tajikistan",27.3,"Knowledge workers",2015,"Central_and_Southern_Asia",5.1,"Business sophistication"
"Sri Lanka",24.1,"Knowledge workers",2015,"Central_and_Southern_Asia",5.1,"Business sophistication"
"Iran, Islamic Republic of",23.8,"Knowledge workers",2015,"Central_and_Southern_Asia",5.1,"Business sophistication"
"Bhutan",21.9,"Knowledge workers",2015,"Central_and_Southern_Asia",5.1,"Business sophistication"
"Nepal",21.8,"Knowledge workers",2015,"Central_and_Southern_Asia",5.1,"Business sophistication"
"Pakistan",18.2,"Knowledge workers",2015,"Central_and_Southern_Asia",5.1,"Business sophistication"
"India",13.7,"Knowledge workers",2015,"Central_and_Southern_Asia",5.1,"Business sophistication"
"Uzbekistan",9.9,"Knowledge workers",2015,"Central_and_Southern_Asia",5.1,"Business sophistication"
"Bhutan",38,"Innovation linkages",2015,"Central_and_Southern_Asia",5.2,"Business sophistication"
"India",37.3,"Innovation linkages",2015,"Central_and_Southern_Asia",5.2,"Business sophistication"
"Nepal",29.1,"Innovation linkages",2015,"Central_and_Southern_Asia",5.2,"Business sophistication"
"Bangladesh",25.2,"Innovation linkages",2015,"Central_and_Southern_Asia",5.2,"Business sophistication"
"Tajikistan",24.8,"Innovation linkages",2015,"Central_and_Southern_Asia",5.2,"Business sophistication"
"Iran, Islamic Republic of",23.5,"Innovation linkages",2015,"Central_and_Southern_Asia",5.2,"Business sophistication"
"Sri Lanka",21.3,"Innovation linkages",2015,"Central_and_Southern_Asia",5.2,"Business sophistication"
"Pakistan",20.3,"Innovation linkages",2015,"Central_and_Southern_Asia",5.2,"Business sophistication"
"Kazakhstan",18.8,"Innovation linkages",2015,"Central_and_Southern_Asia",5.2,"Business sophistication"
"Kyrgyzstan",17.5,"Innovation linkages",2015,"Central_and_Southern_Asia",5.2,"Business sophistication"
"Uzbekistan",5.3,"Innovation linkages",2015,"Central_and_Southern_Asia",5.2,"Business sophistication"
"Uzbekistan",44.9,"Knowledge absorption",2015,"Central_and_Southern_Asia",5.3,"Business sophistication"
"Sri Lanka",39.4,"Knowledge absorption",2015,"Central_and_Southern_Asia",5.3,"Business sophistication"
"Nepal",30.3,"Knowledge absorption",2015,"Central_and_Southern_Asia",5.3,"Business sophistication"
"Tajikistan",30.1,"Knowledge absorption",2015,"Central_and_Southern_Asia",5.3,"Business sophistication"
"Pakistan",28.9,"Knowledge absorption",2015,"Central_and_Southern_Asia",5.3,"Business sophistication"
"India",28.1,"Knowledge absorption",2015,"Central_and_Southern_Asia",5.3,"Business sophistication"
"Kyrgyzstan",26.5,"Knowledge absorption",2015,"Central_and_Southern_Asia",5.3,"Business sophistication"
"Kazakhstan",24.9,"Knowledge absorption",2015,"Central_and_Southern_Asia",5.3,"Business sophistication"
"Bangladesh",23,"Knowledge absorption",2015,"Central_and_Southern_Asia",5.3,"Business sophistication"
"Iran, Islamic Republic of",20.3,"Knowledge absorption",2015,"Central_and_Southern_Asia",5.3,"Business sophistication"
"Bhutan",17.3,"Knowledge absorption",2015,"Central_and_Southern_Asia",5.3,"Business sophistication"
"Iran, Islamic Republic of",37.7,"Knowledge creation",2015,"Central_and_Southern_Asia",6.1,"Knowledge and technology outputs"
"Tajikistan",21.3,"Knowledge creation",2015,"Central_and_Southern_Asia",6.1,"Knowledge and technology outputs"
"India",15.2,"Knowledge creation",2015,"Central_and_Southern_Asia",6.1,"Knowledge and technology outputs"
"Kyrgyzstan",11.5,"Knowledge creation",2015,"Central_and_Southern_Asia",6.1,"Knowledge and technology outputs"
"Uzbekistan",9.4,"Knowledge creation",2015,"Central_and_Southern_Asia",6.1,"Knowledge and technology outputs"
"Kazakhstan",8.7,"Knowledge creation",2015,"Central_and_Southern_Asia",6.1,"Knowledge and technology outputs"
"Pakistan",8.4,"Knowledge creation",2015,"Central_and_Southern_Asia",6.1,"Knowledge and technology outputs"
"Nepal",6.7,"Knowledge creation",2015,"Central_and_Southern_Asia",6.1,"Knowledge and technology outputs"
"Sri Lanka",6.6,"Knowledge creation",2015,"Central_and_Southern_Asia",6.1,"Knowledge and technology outputs"
"Bhutan",5.2,"Knowledge creation",2015,"Central_and_Southern_Asia",6.1,"Knowledge and technology outputs"
"Bangladesh",5.1,"Knowledge creation",2015,"Central_and_Southern_Asia",6.1,"Knowledge and technology outputs"
"Uzbekistan",45,"Knowledge impact",2015,"Central_and_Southern_Asia",6.2,"Knowledge and technology outputs"
"Kyrgyzstan",40.7,"Knowledge impact",2015,"Central_and_Southern_Asia",6.2,"Knowledge and technology outputs"
"Sri Lanka",39.2,"Knowledge impact",2015,"Central_and_Southern_Asia",6.2,"Knowledge and technology outputs"
"Kazakhstan",36.6,"Knowledge impact",2015,"Central_and_Southern_Asia",6.2,"Knowledge and technology outputs"
"India",35,"Knowledge impact",2015,"Central_and_Southern_Asia",6.2,"Knowledge and technology outputs"
"Tajikistan",33.8,"Knowledge impact",2015,"Central_and_Southern_Asia",6.2,"Knowledge and technology outputs"
"Bangladesh",29.4,"Knowledge impact",2015,"Central_and_Southern_Asia",6.2,"Knowledge and technology outputs"
"Pakistan",29,"Knowledge impact",2015,"Central_and_Southern_Asia",6.2,"Knowledge and technology outputs"
"Iran, Islamic Republic of",27.5,"Knowledge impact",2015,"Central_and_Southern_Asia",6.2,"Knowledge and technology outputs"
"Nepal",2.8,"Knowledge impact",2015,"Central_and_Southern_Asia",6.2,"Knowledge and technology outputs"
"Bhutan",2.4,"Knowledge impact",2015,"Central_and_Southern_Asia",6.2,"Knowledge and technology outputs"
"India",40.1,"Knowledge diffusion",2015,"Central_and_Southern_Asia",6.3,"Knowledge and technology outputs"
"Sri Lanka",34.6,"Knowledge diffusion",2015,"Central_and_Southern_Asia",6.3,"Knowledge and technology outputs"
"Tajikistan",23.2,"Knowledge diffusion",2015,"Central_and_Southern_Asia",6.3,"Knowledge and technology outputs"
"Pakistan",23.1,"Knowledge diffusion",2015,"Central_and_Southern_Asia",6.3,"Knowledge and technology outputs"
"Kazakhstan",20.4,"Knowledge diffusion",2015,"Central_and_Southern_Asia",6.3,"Knowledge and technology outputs"
"Bangladesh",18.3,"Knowledge diffusion",2015,"Central_and_Southern_Asia",6.3,"Knowledge and technology outputs"
"Kyrgyzstan",17.4,"Knowledge diffusion",2015,"Central_and_Southern_Asia",6.3,"Knowledge and technology outputs"
"Iran, Islamic Republic of",2.2,"Knowledge diffusion",2015,"Central_and_Southern_Asia",6.3,"Knowledge and technology outputs"
"Bhutan",0.3,"Knowledge diffusion",2015,"Central_and_Southern_Asia",6.3,"Knowledge and technology outputs"
"Nepal",0.2,"Knowledge diffusion",2015,"Central_and_Southern_Asia",6.3,"Knowledge and technology outputs"
"Sri Lanka",43.5,"Intangible assets",2015,"Central_and_Southern_Asia",7.1,"Creative outputs"
"India",37.9,"Intangible assets",2015,"Central_and_Southern_Asia",7.1,"Creative outputs"
"Iran, Islamic Republic of",35.5,"Intangible assets",2015,"Central_and_Southern_Asia",7.1,"Creative outputs"
"Pakistan",34.3,"Intangible assets",2015,"Central_and_Southern_Asia",7.1,"Creative outputs"
"Kazakhstan",33.5,"Intangible assets",2015,"Central_and_Southern_Asia",7.1,"Creative outputs"
"Nepal",33.2,"Intangible assets",2015,"Central_and_Southern_Asia",7.1,"Creative outputs"
"Bangladesh",32,"Intangible assets",2015,"Central_and_Southern_Asia",7.1,"Creative outputs"
"Tajikistan",30.3,"Intangible assets",2015,"Central_and_Southern_Asia",7.1,"Creative outputs"
"Bhutan",29,"Intangible assets",2015,"Central_and_Southern_Asia",7.1,"Creative outputs"
"Kyrgyzstan",26.9,"Intangible assets",2015,"Central_and_Southern_Asia",7.1,"Creative outputs"
"Uzbekistan",11,"Intangible assets",2015,"Central_and_Southern_Asia",7.1,"Creative outputs"
"Bhutan",33.5,"Creative goods and services",2015,"Central_and_Southern_Asia",7.2,"Creative outputs"
"India",17.3,"Creative goods and services",2015,"Central_and_Southern_Asia",7.2,"Creative outputs"
"Nepal",16.7,"Creative goods and services",2015,"Central_and_Southern_Asia",7.2,"Creative outputs"
"Sri Lanka",16.7,"Creative goods and services",2015,"Central_and_Southern_Asia",7.2,"Creative outputs"
"Kazakhstan",13.6,"Creative goods and services",2015,"Central_and_Southern_Asia",7.2,"Creative outputs"
"Uzbekistan",12,"Creative goods and services",2015,"Central_and_Southern_Asia",7.2,"Creative outputs"
"Pakistan",9,"Creative goods and services",2015,"Central_and_Southern_Asia",7.2,"Creative outputs"
"Bangladesh",8.7,"Creative goods and services",2015,"Central_and_Southern_Asia",7.2,"Creative outputs"
"Iran, Islamic Republic of",7.7,"Creative goods and services",2015,"Central_and_Southern_Asia",7.2,"Creative outputs"
"Kyrgyzstan",7.1,"Creative goods and services",2015,"Central_and_Southern_Asia",7.2,"Creative outputs"
"Tajikistan",7,"Creative goods and services",2015,"Central_and_Southern_Asia",7.2,"Creative outputs"
"India",10.3,"Online creativiy",2015,"Central_and_Southern_Asia",7.3,"Creative outputs"
"Iran, Islamic Republic of",7.3,"Online creativiy",2015,"Central_and_Southern_Asia",7.3,"Creative outputs"
"Kazakhstan",3.9,"Online creativiy",2015,"Central_and_Southern_Asia",7.3,"Creative outputs"
"Sri Lanka",1.7,"Online creativiy",2015,"Central_and_Southern_Asia",7.3,"Creative outputs"
"Bhutan",1.5,"Online creativiy",2015,"Central_and_Southern_Asia",7.3,"Creative outputs"
"Kyrgyzstan",1.1,"Online creativiy",2015,"Central_and_Southern_Asia",7.3,"Creative outputs"
"Nepal",1,"Online creativiy",2015,"Central_and_Southern_Asia",7.3,"Creative outputs"
"Pakistan",0.9,"Online creativiy",2015,"Central_and_Southern_Asia",7.3,"Creative outputs"
"Bangladesh",0.4,"Online creativiy",2015,"Central_and_Southern_Asia",7.3,"Creative outputs"
"Tajikistan",0.4,"Online creativiy",2015,"Central_and_Southern_Asia",7.3,"Creative outputs"
"Uzbekistan",0.2,"Online creativiy",2015,"Central_and_Southern_Asia",7.3,"Creative outputs"
"Bhutan",70.3,"Political environment",2014,"Central_and_Southern_Asia",1.1,"Institutions"
"Kyrgyzstan",45,"Political environment",2014,"Central_and_Southern_Asia",1.1,"Institutions"
"Kazakhstan",43.5,"Political environment",2014,"Central_and_Southern_Asia",1.1,"Institutions"
"India",43.3,"Political environment",2014,"Central_and_Southern_Asia",1.1,"Institutions"
"Sri Lanka",42.1,"Political environment",2014,"Central_and_Southern_Asia",1.1,"Institutions"
"Tajikistan",39.1,"Political environment",2014,"Central_and_Southern_Asia",1.1,"Institutions"
"Nepal",37.2,"Political environment",2014,"Central_and_Southern_Asia",1.1,"Institutions"
"Bangladesh",36.5,"Political environment",2014,"Central_and_Southern_Asia",1.1,"Institutions"
"Uzbekistan",36.1,"Political environment",2014,"Central_and_Southern_Asia",1.1,"Institutions"
"Iran, Islamic Rep.",28.8,"Political environment",2014,"Central_and_Southern_Asia",1.1,"Institutions"
"Pakistan",22.8,"Political environment",2014,"Central_and_Southern_Asia",1.1,"Institutions"
"Bhutan",67.5,"Regulatory environment",2014,"Central_and_Southern_Asia",1.2,"Institutions"
"Kazakhstan",66,"Regulatory environment",2014,"Central_and_Southern_Asia",1.2,"Institutions"
"India",62.2,"Regulatory environment",2014,"Central_and_Southern_Asia",1.2,"Institutions"
"Kyrgyzstan",54.2,"Regulatory environment",2014,"Central_and_Southern_Asia",1.2,"Institutions"
"Tajikistan",51.6,"Regulatory environment",2014,"Central_and_Southern_Asia",1.2,"Institutions"
"Uzbekistan",45.2,"Regulatory environment",2014,"Central_and_Southern_Asia",1.2,"Institutions"
"Nepal",43.8,"Regulatory environment",2014,"Central_and_Southern_Asia",1.2,"Institutions"
"Pakistan",43.5,"Regulatory environment",2014,"Central_and_Southern_Asia",1.2,"Institutions"
"Iran, Islamic Rep.",43.1,"Regulatory environment",2014,"Central_and_Southern_Asia",1.2,"Institutions"
"Bangladesh",38.2,"Regulatory environment",2014,"Central_and_Southern_Asia",1.2,"Institutions"
"Sri Lanka",22.3,"Regulatory environment",2014,"Central_and_Southern_Asia",1.2,"Institutions"
"Kazakhstan",73.9,"Business environment",2014,"Central_and_Southern_Asia",1.3,"Institutions"
"Bangladesh",61.1,"Business environment",2014,"Central_and_Southern_Asia",1.3,"Institutions"
"Kyrgyzstan",59.6,"Business environment",2014,"Central_and_Southern_Asia",1.3,"Institutions"
"Sri Lanka",58.3,"Business environment",2014,"Central_and_Southern_Asia",1.3,"Institutions"
"Nepal",57.3,"Business environment",2014,"Central_and_Southern_Asia",1.3,"Institutions"
"Iran, Islamic Rep.",57.1,"Business environment",2014,"Central_and_Southern_Asia",1.3,"Institutions"
"Uzbekistan",56.9,"Business environment",2014,"Central_and_Southern_Asia",1.3,"Institutions"
"Pakistan",53.9,"Business environment",2014,"Central_and_Southern_Asia",1.3,"Institutions"
"Bhutan",49.9,"Business environment",2014,"Central_and_Southern_Asia",1.3,"Institutions"
"Tajikistan",47.7,"Business environment",2014,"Central_and_Southern_Asia",1.3,"Institutions"
"India",47,"Business environment",2014,"Central_and_Southern_Asia",1.3,"Institutions"
"Uzbekistan",55.7,"Education",2014,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Kyrgyzstan",54.8,"Education",2014,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Kazakhstan",49.8,"Education",2014,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Bhutan",42.3,"Education",2014,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Tajikistan",41.6,"Education",2014,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Iran, Islamic Rep.",35.6,"Education",2014,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Nepal",31.1,"Education",2014,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Sri Lanka",29.9,"Education",2014,"Central_and_Southern_Asia",2.1,"Human capital and research"
"India",24.2,"Education",2014,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Bangladesh",20.6,"Education",2014,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Pakistan",10.7,"Education",2014,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Iran, Islamic Rep.",58.1,"Tertiary education",2014,"Central_and_Southern_Asia",2.2,"Human capital and research"
"Kyrgyzstan",31.2,"Tertiary education",2014,"Central_and_Southern_Asia",2.2,"Human capital and research"
"Tajikistan",30.1,"Tertiary education",2014,"Central_and_Southern_Asia",2.2,"Human capital and research"
