Rank,Country,Score,Value,Percentage Rank,S/W
101,Uzbekistan,29.0,-,0.29,
102,Honduras,28.9,-,0.28,
103,Paraguay,28.8,-,0.27,
104,"Bolivia, Plurinational State of",28.7,-,0.26,
105,Mozambique,28.5,-,0.26,
106,Trinidad and Tobago,28.4,-,0.25,
107,Ghana,28.4,-,0.24,
108,Senegal,27.6,-,0.24,
109,Bangladesh,27.3,-,0.23,
110,Kenya,27.2,-,0.22,
111,Lesotho,26.8,-,0.21,
112,Ukraine,26.3,-,0.21,
113,Uganda,26.3,-,0.20,
114,Kyrgyzstan,26.0,-,0.19,
115,Guyana,25.0,-,0.19,
116,Nepal,24.1,-,0.18,
117,Guatemala,24.0,-,0.17,
118,Malawi,23.9,-,0.16,
119,Ethiopia,23.9,-,0.16,
120,"Tanzania, United Republic of",23.8,-,0.15,
121,Zambia,23.6,-,0.14,
122,Gambia,23.4,-,0.14,
123,Pakistan,23.1,-,0.13,
124,Nigeria,22.9,-,0.12,
125,Cambodia,22.7,-,0.11,º
126,Nicaragua,22.7,-,0.11,
127,Burkina Faso,22.6,-,0.10,
128,Angola,21.1,-,0.09,
129,Zimbabwe,20.8,-,0.09,
130,Mali,19.9,-,0.08,
131,Côte d'Ivoire,19.8,-,0.07,º
132,Sudan,19.7,-,0.06,
133,Cameroon,19.6,-,0.06,º
134,Yemen,19.4,-,0.05,
135,Tajikistan,18.0,-,0.04,º
136,Burundi,17.7,-,0.04,
137,Madagascar,17.3,-,0.03,º
138,Swaziland,17.1,-,0.02,º
139,Myanmar,16.1,-,0.01,
140,Togo,13.8,-,0.01,º
141,Guinea,12.5,-,0.00,º
142,Gabon,0.0,-,0.00,
142,Syrian Arab Republic,0.0,-,0.00,
142,Iraq,0.0,-,0.00,
142,Suriname,0.0,-,0.00,
142,Belize,0.0,-,0.00,
142,Tonga,0.0,-,0.00,
142,Afghanistan,0.0,-,0.00,
142,Chad,0.0,-,0.00,
142,Mauritania,0.0,-,0.00,
142,Haiti,0.0,-,0.00,
142,Isle of Man,0.0,-,0.00,
142,Gibraltar,0.0,-,0.00,
142,Channel Islands,0.0,-,0.00,
142,Sierra Leone,0.0,-,0.00,
142,Djibouti,0.0,-,0.00,
142,Saint Lucia,0.0,-,0.00,
142,Antigua and Barbuda,0.0,-,0.00,
142,Central African Republic,0.0,-,0.00,
142,"Congo, Democratic Republic of the",0.0,-,0.00,
142,Papua New Guinea,0.0,-,0.00,
142,Saint Vincent and the Grenadines,0.0,-,0.00,
142,Congo,0.0,-,0.00,
142,Samoa,0.0,-,0.00,
142,Eritrea,0.0,-,0.00,
142,Solomon Islands,0.0,-,0.00,
142,Vanuatu,0.0,-,0.00,
142,Guinea Bissau,0.0,-,0.00,
142,Liberia,0.0,-,0.00,
142,Maldives,0.0,-,0.00,
142,Saint Kitts and Nevis,0.0,-,0.00,
142,Timor-Leste,0.0,-,0.00,
142,Grenada,0.0,-,0.00,
142,Libya,0.0,-,0.00,
142,Bahamas,0.0,-,0.00,
142,Dominica,0.0,-,0.00,
142,Sao Tome and Principe,0.0,-,0.00,
142,Comoros,0.0,-,0.00,
142,Cuba,0.0,-,0.00,
142,Bermuda,0.0,-,0.00,
142,Kiribati,0.0,-,0.00,
142,Puerto Rico,0.0,-,0.00,
142,Aruba,0.0,-,0.00,
142,Macao,0.0,-,0.00,
142,Equatorial Guinea,0.0,-,0.00,
142,"Palestinian Territory, Occupied",0.0,-,0.00,
142,San Marino,0.0,-,0.00,
142,Turkmenistan,0.0,-,0.00,
142,Palau,0.0,-,0.00,
142,"Micronesia, Federated States of",0.0,-,0.00,
142,Liechtenstein,0.0,-,0.00,
142,Marshall Islands,0.0,-,0.00,
142,"Taiwan, Province of China",0.0,-,0.00,
142,South Sudan,0.0,-,0.00,
142,Andorra,0.0,-,0.00,
142,"Korea, Democratic People's Republic of",0.0,-,0.00,
142,Somalia,0.0,-,0.00,
142,Netherlands Antilles,0.0,-,0.00,
142,French Polynesia,0.0,-,0.00,
142,Monaco,0.0,-,0.00,
142,New Caledonia,0.0,-,0.00,
142,Anguilla,0.0,-,0.00,
142,Cook Islands,0.0,-,0.00,
142,Montserrat,0.0,-,0.00,
142,Tuvalu,0.0,-,0.00,
142,Cayman Islands,0.0,-,0.00,
142,Faroe Islands,0.0,-,0.00,
142,Guam,0.0,-,0.00,
142,Nauru,0.0,-,0.00,
142,Réunion,0.0,-,0.00,
142,"Virgin Islands, British",0.0,-,0.00,
142,"Virgin Islands, U.S.",0.0,-,0.00,
142,French Guiana,0.0,-,0.00,
142,Kosovo,0.0,-,0.00,
142,Martinique,0.0,-,0.00,
142,Curaçao,0.0,-,0.00,
142,American Samoa,0.0,-,0.00,
142,Greenland,0.0,-,0.00,
142,Sint Maarten (Dutch part),0.0,-,0.00,
142,Turks and Caicos Islands,0.0,-,0.00,
142,Northern Mariana Islands,0.0,-,0.00,
142,Tokelau,0.0,-,0.00,
142,Saint Martin (French part),0.0,-,0.00,
142,Sudan (pre-secession),0.0,-,0.00,
142,Mayotte,0.0,-,0.00,
142,Holy See (Vatican City State),0.0,-,0.00,
142,Jersey,0.0,-,0.00,
142,Niue,0.0,-,0.00,
