Rank,Country,Score,Value,Percentage Rank,S/W
87,Mali,28.0,-,0.39,
88,Cabo Verde,27.3,-,0.38,
89,Guatemala,27.2,-,0.37,
90,Trinidad and Tobago,26.7,-,0.36,
91,Morocco,26.5,-,0.36,
92,Sri Lanka,26.3,-,0.35,
93,Azerbaijan,26.2,-,0.34,
94,Belarus,26.0,-,0.34,
95,India,25.9,-,0.33,
96,Jamaica,25.6,-,0.32,
97,Honduras,25.4,-,0.31,
98,Egypt,25.1,-,0.31,
99,Georgia,25.0,-,0.30,
100,Burkina Faso,24.9,-,0.29,
101,Philippines,24.8,-,0.29,
102,Côte d'Ivoire,24.7,-,0.28,
103,Zimbabwe,24.5,-,0.27,
104,Malawi,24.1,-,0.26,
105,Lesotho,23.8,-,0.26,
106,Ethiopia,23.3,-,0.25,
107,Bhutan,23.3,-,0.24,
108,Cambodia,22.9,-,0.24,
109,Ecuador,22.8,-,0.23,
110,Botswana,22.7,-,0.22,
111,Nigeria,22.5,-,0.21,
112,Angola,22.2,-,0.21,
113,Madagascar,22.1,-,0.20,
114,Albania,22.0,-,0.19,
115,Rwanda,21.6,-,0.19,
116,"Iran, Islamic Republic of",21.5,-,0.18,
117,Kazakhstan,21.1,-,0.17,
118,Nepal,21.1,-,0.16,
119,Ghana,20.8,-,0.16,
120,Swaziland,20.4,-,0.15,
121,Pakistan,19.6,-,0.14,
122,Gambia,18.6,-,0.14,
123,Zambia,18.4,-,0.13,
124,Bangladesh,18.3,-,0.12,
125,Guinea,17.9,-,0.11,
126,Uganda,17.9,-,0.11,
127,Nicaragua,17.7,-,0.10,
128,Mozambique,17.6,-,0.09,
129,"Venezuela, Bolivarian Republic of",17.5,-,0.09,
130,Tajikistan,17.0,-,0.08,
131,Mayotte,16.7,-,0.00,
131,Holy See (Vatican City State),16.7,-,0.00,
131,Niue,16.7,-,0.00,
131,Jersey,16.7,-,0.00,
131,Algeria,15.6,-,0.07,
131,Isle of Man,16.7,-,0.00,
131,Channel Islands,16.7,-,0.00,
131,Gibraltar,16.7,-,0.00,
131,Gabon,16.7,-,0.00,
131,Syrian Arab Republic,16.7,-,0.00,
131,Iraq,16.7,-,0.00,
131,Suriname,16.7,-,0.00,
131,Belize,16.7,-,0.00,
131,Tonga,16.7,-,0.00,
131,Afghanistan,16.7,-,0.00,
131,Chad,16.7,-,0.00,
131,Mauritania,16.7,-,0.00,
131,Haiti,16.7,-,0.00,
131,Sierra Leone,16.7,-,0.00,
131,Djibouti,16.7,-,0.00,
131,Saint Lucia,16.7,-,0.00,
131,Antigua and Barbuda,16.7,-,0.00,
131,Central African Republic,16.7,-,0.00,
131,"Congo, Democratic Republic of the",16.7,-,0.00,
131,Papua New Guinea,16.7,-,0.00,
131,Saint Vincent and the Grenadines,16.7,-,0.00,
131,Congo,16.7,-,0.00,
131,Samoa,16.7,-,0.00,
131,Eritrea,16.7,-,0.00,
131,Solomon Islands,16.7,-,0.00,
131,Vanuatu,16.7,-,0.00,
131,Guinea Bissau,16.7,-,0.00,
131,Liberia,16.7,-,0.00,
131,Maldives,16.7,-,0.00,
131,Saint Kitts and Nevis,16.7,-,0.00,
131,Timor-Leste,16.7,-,0.00,
131,Grenada,16.7,-,0.00,
131,Libya,16.7,-,0.00,
131,Bahamas,16.7,-,0.00,
131,Dominica,16.7,-,0.00,
131,Sao Tome and Principe,16.7,-,0.00,
131,Comoros,16.7,-,0.00,
131,Cuba,16.7,-,0.00,
131,Bermuda,16.7,-,0.00,
131,Kiribati,16.7,-,0.00,
131,Puerto Rico,16.7,-,0.00,
131,Aruba,16.7,-,0.00,
131,Macao,16.7,-,0.00,
131,Equatorial Guinea,16.7,-,0.00,
131,"Palestinian Territory, Occupied",16.7,-,0.00,
131,San Marino,16.7,-,0.00,
131,Turkmenistan,16.7,-,0.00,
131,Palau,16.7,-,0.00,
131,"Micronesia, Federated States of",16.7,-,0.00,
131,Liechtenstein,16.7,-,0.00,
131,Marshall Islands,16.7,-,0.00,
131,"Taiwan, Province of China",16.7,-,0.00,
131,South Sudan,16.7,-,0.00,
131,Andorra,16.7,-,0.00,
131,"Korea, Democratic People's Republic of",16.7,-,0.00,
131,Somalia,16.7,-,0.00,
131,Netherlands Antilles,16.7,-,0.00,
131,French Polynesia,16.7,-,0.00,
131,Monaco,16.7,-,0.00,
131,New Caledonia,16.7,-,0.00,
131,Anguilla,16.7,-,0.00,
131,Cook Islands,16.7,-,0.00,
131,Montserrat,16.7,-,0.00,
131,Tuvalu,16.7,-,0.00,
131,Cayman Islands,16.7,-,0.00,
131,Faroe Islands,16.7,-,0.00,
131,Guam,16.7,-,0.00,
131,Nauru,16.7,-,0.00,
131,Réunion,16.7,-,0.00,
131,"Virgin Islands, British",16.7,-,0.00,
131,"Virgin Islands, U.S.",16.7,-,0.00,
131,French Guiana,16.7,-,0.00,
131,Kosovo,16.7,-,0.00,
131,Martinique,16.7,-,0.00,
131,Curaçao,16.7,-,0.00,
131,American Samoa,16.7,-,0.00,
131,Greenland,16.7,-,0.00,
131,Sint Maarten (Dutch part),16.7,-,0.00,
131,Turks and Caicos Islands,16.7,-,0.00,
131,Northern Mariana Islands,16.7,-,0.00,
131,Tokelau,16.7,-,0.00,
131,Saint Martin (French part),16.7,-,0.00,
131,Sudan (pre-secession),16.7,-,0.00,
132,Kyrgyzstan,15.5,-,0.06,º
133,Burundi,15.1,-,0.06,
134,Yemen,14.5,-,0.05,
135,Bosnia and Herzegovina,13.4,-,0.04,º
136,Myanmar,13.3,-,0.04,
137,Fiji,10.6,-,0.03,º
138,Uzbekistan,8.6,-,0.02,º
139,Sudan,1.3,-,0.01,º
140,Niger,0.8,-,0.01,º
141,Togo,0.5,-,0.00,º
