Rank,Country,Score,Value,Percentage Rank,S/W
75,Nicaragua,33.0,-,0.47,•
76,Jordan,32.8,-,0.46,
77,Lebanon,32.6,-,0.46,
78,Ukraine,32.4,-,0.45,
79,Dominican Republic,32.1,-,0.44,
80,Jamaica,31.8,-,0.44,
81,Philippines,31.7,-,0.43,
82,El Salvador,31.7,-,0.42,
83,"Moldova, Republic of",31.7,-,0.41,
84,Egypt,31.6,-,0.41,
85,Peru,31.6,-,0.40,
86,Kenya,31.2,-,0.39,
87,Mali,31.1,-,0.39,
88,"Venezuela, Bolivarian Republic of",31.1,-,0.38,
89,Armenia,31.0,-,0.37,
90,Greece,30.8,-,0.36,
91,Burundi,30.7,-,0.36,
92,"Bolivia, Plurinational State of",30.5,-,0.35,
93,Trinidad and Tobago,30.3,-,0.34,
94,Belarus,30.3,-,0.34,
95,Serbia,30.2,-,0.33,
96,Uruguay,29.7,-,0.32,
97,Paraguay,29.7,-,0.31,
98,Mauritius,29.5,-,0.31,
99,Kyrgyzstan,28.9,-,0.30,
100,Ghana,28.7,-,0.29,
101,Senegal,28.3,-,0.29,
102,Sri Lanka,28.3,-,0.28,
103,Cameroon,28.2,-,0.27,
104,Togo,28.2,-,0.26,
105,Georgia,28.0,-,0.26,
106,Qatar,27.7,-,0.25,
107,Cabo Verde,27.6,-,0.24,
108,Tajikistan,27.4,-,0.24,
109,Namibia,27.3,-,0.23,
110,Kazakhstan,27.2,-,0.22,
111,Nepal,27.1,-,0.21,
112,Botswana,27.0,-,0.21,
113,Madagascar,26.9,-,0.20,
114,Lesotho,26.8,-,0.19,
115,Zimbabwe,26.7,-,0.19,
116,India,26.4,-,0.18,
117,Turkey,26.3,-,0.17,
118,Albania,26.2,-,0.16,
119,Tunisia,25.9,-,0.16,º
120,"Tanzania, United Republic of",25.8,-,0.15,
121,Bhutan,25.7,-,0.14,
122,Bangladesh,25.6,-,0.14,
123,Ecuador,24.6,-,0.13,
124,Indonesia,24.6,-,0.12,
125,Ethiopia,24.6,-,0.11,
126,Angola,24.3,-,0.11,
127,Côte d'Ivoire,24.0,-,0.10,º
128,Oman,23.0,-,0.09,º
129,Zambia,22.6,-,0.09,
130,"Iran, Islamic Republic of",22.6,-,0.08,
131,Pakistan,22.4,-,0.07,º
132,Kuwait,22.1,-,0.06,º
133,Yemen,21.9,-,0.06,
134,Morocco,21.5,-,0.05,º
135,Algeria,20.9,-,0.04,
136,Azerbaijan,20.7,-,0.04,º
137,Nigeria,20.3,-,0.03,º
138,Uzbekistan,20.0,-,0.02,º
139,Guinea,19.7,-,0.01,º
140,Sudan,13.7,-,0.01,º
140,Gabon,16.7,-,0.00,
140,Syrian Arab Republic,16.7,-,0.00,
140,Iraq,16.7,-,0.00,
140,Suriname,16.7,-,0.00,
140,Belize,16.7,-,0.00,
140,Tonga,16.7,-,0.00,
140,Afghanistan,16.7,-,0.00,
140,Chad,16.7,-,0.00,
140,Mauritania,16.7,-,0.00,
140,Haiti,16.7,-,0.00,
140,Channel Islands,16.7,-,0.00,
140,Gibraltar,16.7,-,0.00,
140,Isle of Man,16.7,-,0.00,
140,Sierra Leone,16.7,-,0.00,
140,Djibouti,16.7,-,0.00,
140,Saint Lucia,16.7,-,0.00,
140,Antigua and Barbuda,16.7,-,0.00,
140,Central African Republic,16.7,-,0.00,
140,"Congo, Democratic Republic of the",16.7,-,0.00,
140,Papua New Guinea,16.7,-,0.00,
140,Saint Vincent and the Grenadines,16.7,-,0.00,
140,Congo,16.7,-,0.00,
140,Samoa,16.7,-,0.00,
140,Eritrea,16.7,-,0.00,
140,Solomon Islands,16.7,-,0.00,
140,Vanuatu,16.7,-,0.00,
140,Guinea Bissau,16.7,-,0.00,
140,Liberia,16.7,-,0.00,
140,Maldives,16.7,-,0.00,
140,Saint Kitts and Nevis,16.7,-,0.00,
140,Timor-Leste,16.7,-,0.00,
140,Grenada,16.7,-,0.00,
140,Libya,16.7,-,0.00,
140,Bahamas,16.7,-,0.00,
140,Dominica,16.7,-,0.00,
140,Sao Tome and Principe,16.7,-,0.00,
140,Comoros,16.7,-,0.00,
140,Cuba,16.7,-,0.00,
140,Bermuda,16.7,-,0.00,
140,Kiribati,16.7,-,0.00,
140,Puerto Rico,16.7,-,0.00,
140,Aruba,16.7,-,0.00,
140,Macao,16.7,-,0.00,
140,Equatorial Guinea,16.7,-,0.00,
140,"Palestinian Territory, Occupied",16.7,-,0.00,
140,San Marino,16.7,-,0.00,
140,Turkmenistan,16.7,-,0.00,
140,Palau,16.7,-,0.00,
140,"Micronesia, Federated States of",16.7,-,0.00,
140,Liechtenstein,16.7,-,0.00,
140,Marshall Islands,16.7,-,0.00,
140,"Taiwan, Province of China",16.7,-,0.00,
140,South Sudan,16.7,-,0.00,
140,Andorra,16.7,-,0.00,
140,"Korea, Democratic People's Republic of",16.7,-,0.00,
140,Somalia,16.7,-,0.00,
140,Netherlands Antilles,16.7,-,0.00,
140,French Polynesia,16.7,-,0.00,
140,Monaco,16.7,-,0.00,
140,New Caledonia,16.7,-,0.00,
140,Anguilla,16.7,-,0.00,
140,Cook Islands,16.7,-,0.00,
140,Montserrat,16.7,-,0.00,
140,Tuvalu,16.7,-,0.00,
140,Cayman Islands,16.7,-,0.00,
140,Faroe Islands,16.7,-,0.00,
140,Guam,16.7,-,0.00,
140,Nauru,16.7,-,0.00,
140,Réunion,16.7,-,0.00,
140,"Virgin Islands, British",16.7,-,0.00,
140,"Virgin Islands, U.S.",16.7,-,0.00,
140,French Guiana,16.7,-,0.00,
140,Kosovo,16.7,-,0.00,
140,Martinique,16.7,-,0.00,
140,Curaçao,16.7,-,0.00,
140,American Samoa,16.7,-,0.00,
140,Greenland,16.7,-,0.00,
140,Sint Maarten (Dutch part),16.7,-,0.00,
140,Turks and Caicos Islands,16.7,-,0.00,
140,Northern Mariana Islands,16.7,-,0.00,
140,Tokelau,16.7,-,0.00,
140,Saint Martin (French part),16.7,-,0.00,
140,Sudan (pre-secession),16.7,-,0.00,
140,Niue,16.7,-,0.00,
140,Mayotte,16.7,-,0.00,
140,Holy See (Vatican City State),16.7,-,0.00,
140,Jersey,16.7,-,0.00,
141,Myanmar,11.0,-,0.00,º
